"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	133	133	1	3254239.0	0	3607108.0	2	3878994.0	3	4003969.0	2	3878994.0	1.7976931348623157E308	0.0	1.164700ms	120	1.164700ms	0.003967361696291432	307.8us	30	307.8us	0.004148605769098516	59.2us	2	59.2us	0.11399014972681798	1.518300ms	7	1.518300ms	2.665014034933006E-4	1.518300ms	7	1.518300ms	2.665014034933006E-4	
3	4	2	256	123	2	2984164.0	1	3020614.0	0	3041825.0	3	3631229.0	0	3041825.0	1.7976931348623157E308	0.0	1.117800ms	120	1.117800ms	0.002201222640729615	265.2us	30	265.2us	0.0023762995211858836	53.5us	2	53.5us	0.1505272517960426	1.577800ms	2	1.577800ms	2.7026287866377396E-4	1.577800ms	2	1.577800ms	2.7026287866377396E-4	
4	7	2	382	126	2	2858178.0	3	2893081.0	1	2958642.0	0	3015712.0	1	2958642.0	1.7976931348623157E308	0.0	1.142200ms	120	1.142200ms	6.596347058700963E-4	286.3us	30	286.3us	0.0014040416971919823	60.7us	2	60.7us	0.0984530306405903	1.766300ms	4	1.766300ms	2.5300218084528536E-5	1.766300ms	4	1.766300ms	2.5300218084528536E-5	
5	10	2	506	124	0	2587056.0	2	2617855.0	1	2674282.0	3	2867638.0	1	2674282.0	1.7976931348623157E308	0.0	1.138700ms	120	1.138700ms	0.0016172204984026596	283.6us	30	283.6us	0.002261574841448699	59.2us	2	59.2us	0.06259123535238331	1.873500ms	2	1.873500ms	0.008708519903239065	1.873500ms	2	1.873500ms	0.008708519903239065	
6	12	2	648	142	2	2334001.0	0	2507847.0	1	2574559.0	3	2781357.0	1	2574559.0	1.7976931348623157E308	0.0	1.145700ms	120	1.145700ms	9.385005540533583E-4	282.4us	30	282.4us	9.988584254109793E-4	54.3us	2	54.3us	0.048109929676317	2.002ms	20	2.002ms	3.359030496440929E-5	2.002ms	20	2.002ms	3.359030496440929E-5	
7	15	3	849	201	1	1990066.0	2	2236822.0	0	2375225.0	3	2776868.0	0	2375225.0	1.7976931348623157E308	0.0	1.153200ms	120	1.153200ms	0.0023647288984070675	295.2us	30	295.2us	0.0013481875190807235	59.8us	2	59.8us	0.023546945321509416	2.261800ms	79	2.261800ms	1.570617486800615E-5	2.261800ms	79	2.261800ms	1.570617486800615E-5	
8	19	3	1049	200	1	1850698.0	2	2151087.0	0	2279339.0	3	2289863.0	0	2279339.0	1.7976931348623157E308	0.0	1.144600ms	120	1.144600ms	0.0014784115727650732	284us	30	284us	0.001176831586416934	59.7us	2	59.7us	0.05977669806414998	2.376200ms	82	2.376200ms	4.389975741213933E-4	2.376200ms	82	2.376200ms	4.389975741213933E-4	
9	21	2	1192	143	1	1832561.0	2	1882455.0	3	1949620.0	0	2260574.0	3	1949620.0	1.7976931348623157E308	0.0	1.122500ms	120	1.122500ms	9.081153054193168E-4	283.3us	30	283.3us	2.1094598365787678E-4	58.3us	2	58.3us	0.09400534040960518	2.018900ms	22	2.018900ms	1.5880986033869136E-4	2.018900ms	22	2.018900ms	1.5880986033869136E-4	
10	26	4	1335	143	0	1764129.0	1	1812126.0	3	1852653.0	2	1865436.0	3	1852653.0	1.7976931348623157E308	0.0	7.804300ms	120	7.804300ms	7.989859392722028E-4	1.962100ms	30	1.962100ms	0.0	59.8us	2	59.8us	0.09926991262549167	1.931100ms	21	1.931100ms	5.310029178266058E-4	1.931100ms	21	1.931100ms	5.310029178266058E-4	
11	28	2	1468	133	3	1713703.0	0	1739354.0	1	1772162.0	2	1833705.0	1	1772162.0	1.7976931348623157E308	0.0	1.152400ms	120	1.152400ms	0.00104734979893072	285us	30	285us	3.872601359587076E-4	50.9us	2	50.9us	0.0	1.961300ms	13	1.961300ms	1.8880531019949132E-4	1.961300ms	13	1.961300ms	1.8880531019949132E-4	
