"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	128	128	1	2190388.0	2	2307855.0	0	2435290.0	3	2527654.0	0	2435290.0	1.7976931348623157E308	0.0	1.039700ms	120	1.039700ms	0.005378545417849445	268us	30	268us	0.006219896573753369	37.9us	2	37.9us	0.08127245120957477	1.317100ms	2	1.317100ms	0.010879598600244789	1.317100ms	2	1.317100ms	0.010879598600244789	
3	4	2	261	133	1	1785953.0	3	1998873.0	2	2029302.0	0	2038906.0	2	2029302.0	1.7976931348623157E308	0.0	1.030700ms	120	1.030700ms	0.003526927609987562	267.1us	30	267.1us	0.006041533527773424	39us	2	39us	0.13264488199341562	1.573ms	12	1.573ms	3.4552478069334774E-4	1.573ms	12	1.573ms	3.4552478069334774E-4	
4	6	2	388	127	3	1671062.0	1	1784785.0	2	1809720.0	0	1853313.0	2	1809720.0	1.7976931348623157E308	0.0	1.066300ms	120	1.066300ms	0.00257691079195616	294.4us	30	294.4us	0.0	38.8us	2	38.8us	0.029769037392596842	1.701ms	5	1.701ms	1.3079851485453542E-4	1.701ms	5	1.701ms	1.3079851485453542E-4	
5	9	2	522	134	1	1475579.0	2	1577117.0	3	1598430.0	0	1733808.0	3	1598430.0	1.7976931348623157E308	0.0	1.032600ms	120	1.032600ms	0.0020277737721077892	264.1us	30	264.1us	0.001440192504534273	37.6us	2	37.6us	0.08926426877076149	1.804600ms	13	1.804600ms	2.0806667119011024E-5	1.804600ms	13	1.804600ms	2.0806667119011024E-5	
6	12	2	648	126	1	1400162.0	3	1550798.0	2	1565490.0	0	1712724.0	2	1565490.0	1.7976931348623157E308	0.0	997.9us	120	997.9us	7.351339769766883E-4	240.7us	30	240.7us	0.0013622665411719157	36.7us	2	36.7us	0.0010203762441896025	1.952300ms	5	1.952300ms	0.0021357040185581377	1.952300ms	5	1.952300ms	0.0021357040185581377	
7	14	2	776	128	0	1317348.0	1	1320220.0	2	1451449.0	3	1525628.0	2	1451449.0	1.7976931348623157E308	0.0	1.026ms	120	1.026ms	0.0021059294142063523	259.7us	30	259.7us	0.001780162672509722	41.7us	2	41.7us	0.06993590591615317	2.051400ms	6	2.051400ms	6.496867267263839E-4	2.051400ms	6	2.051400ms	6.496867267263839E-4	
8	17	2	954	178	0	1218780.0	1	1287377.0	3	1362659.0	2	1438483.0	3	1362659.0	1.7976931348623157E308	0.0	989us	120	989us	0.0011144747271856427	229.4us	30	229.4us	0.002416654490551336	37.6us	2	37.6us	0.04081630646527201	2.261800ms	56	2.261800ms	4.4732729262556794E-5	2.261800ms	56	2.261800ms	4.4732729262556794E-5	
9	20	2	1146	192	2	1165355.0	0	1201704.0	3	1215801.0	1	1284423.0	3	1215801.0	1.7976931348623157E308	0.0	1.016100ms	120	1.016100ms	0.0012612823004207973	256.3us	30	256.3us	9.685757732149635E-5	37.6us	2	37.6us	0.08211129236451842	2.034ms	71	2.034ms	1.5686432218411028E-4	2.034ms	71	2.034ms	1.5686432218411028E-4	
10	23	2	1277	131	2	1132547.0	3	1176889.0	0	1201704.0	1	1271864.0	0	1201704.0	1.7976931348623157E308	0.0	995.2us	120	995.2us	4.8409470099819993E-4	232.1us	30	232.1us	5.436065002320523E-4	37.1us	2	37.1us	0.0	2.029600ms	13	2.029600ms	9.262281582733251E-4	2.029600ms	13	2.029600ms	9.262281582733251E-4	
11	26	2	1418	141	2	1125284.0	3	1164506.0	0	1201704.0	1	1250210.0	0	1201704.0	1.7976931348623157E308	0.0	1.041700ms	120	1.041700ms	2.295601095918291E-4	238.6us	30	238.6us	0.0	44.6us	2	44.6us	0.0	2.025600ms	21	2.025600ms	3.053799470195446E-4	2.025600ms	21	2.025600ms	3.053799470195446E-4	
12	28	2	1544	126	3	1109513.0	2	1119867.0	0	1186179.0	1	1250210.0	0	1186179.0	1.7976931348623157E308	0.0	1.072400ms	120	1.072400ms	5.011955948111814E-4	262.4us	30	262.4us	0.0	38.1us	2	38.1us	0.0	2.218ms	6	2.218ms	8.023159783070999E-4	2.218ms	6	2.218ms	8.023159783070999E-4	
13	31	2	1685	141	3	1090881.0	2	1117132.0	0	1183498.0	1	1218748.0	0	1183498.0	1.7976931348623157E308	0.0	1.018200ms	120	1.018200ms	2.3180576781852425E-4	256.3us	30	256.3us	1.829698551010043E-4	37.1us	2	37.1us	0.003837755257116826	2.120700ms	19	2.120700ms	5.98223582873986E-4	2.120700ms	19	2.120700ms	5.98223582873986E-4	
14	34	2	1835	150	1	1008879.0	3	1083279.0	2	1094632.0	0	1140984.0	2	1094632.0	1.7976931348623157E308	0.0	1.016100ms	120	1.016100ms	4.836311526366488E-4	249.1us	30	249.1us	0.0	38.4us	2	38.4us	0.08528219123231384	2.200900ms	28	2.200900ms	2.4888140869627366E-4	2.200900ms	28	2.200900ms	2.4888140869627366E-4	
15	37	3	2058	223	1	966402.0	2	1072426.0	3	1083279.0	0	1136056.0	3	1083279.0	1.7976931348623157E308	0.0	986.1us	120	986.1us	3.868520413301213E-4	234us	30	234us	0.0014034388663060689	36.4us	2	36.4us	0.010143134861761771	2.413300ms	101	2.413300ms	0.0	2.413300ms	101	2.413300ms	0.0	
