"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	127	127	3	2583620.0	0	2830822.0	2	2832893.0	1	2853826.0	2	2832893.0	1.7976931348623157E308	0.0	1.235ms	120	1.235ms	0.0044491036477558405	269us	30	269us	0.003025184209467713	42.7us	2	42.7us	0.0774573676913885	1.287800ms	1	1.287800ms	0.023079320545003834	1.287800ms	1	1.287800ms	0.023079320545003834	
3	4	2	251	124	3	2095563.0	0	2243755.0	1	2265063.0	2	2325245.0	1	2265063.0	1.7976931348623157E308	0.0	1.396ms	120	1.396ms	0.005096931110038797	334.8us	30	334.8us	0.005704106801846058	44.6us	2	44.6us	0.08621079222126715	1.495ms	3	1.495ms	0.0071506903750035615	1.495ms	3	1.495ms	0.0071506903750035615	
4	7	2	377	126	3	1980442.0	2	2103909.0	1	2186012.0	0	2205586.0	1	2186012.0	1.7976931348623157E308	0.0	1.076500ms	120	1.076500ms	7.759174853426457E-4	269.1us	30	269.1us	7.192275541520355E-4	40us	2	40us	0.03853937972127669	1.611400ms	5	1.611400ms	0.006818883517221863	1.611400ms	5	1.611400ms	0.006818883517221863	
5	10	3	500	123	3	1743600.0	2	1888962.0	0	1895238.0	1	2042447.0	0	1895238.0	1.7976931348623157E308	0.0	1.051200ms	120	1.051200ms	0.0027232903756583523	270.6us	30	270.6us	0.0035757257384873603	41.5us	2	41.5us	0.04820986933161259	2.354800ms	3	2.354800ms	0.004599646610874419	2.354800ms	3	2.354800ms	0.004599646610874419	
6	13	2	624	124	3	1716817.0	1	1745025.0	0	1754981.0	2	1764959.0	0	1754981.0	1.7976931348623157E308	0.0	1.631400ms	120	1.631400ms	0.001706327583146828	272.6us	30	272.6us	0.0	41.4us	2	41.4us	0.04305962406858049	2.060600ms	2	2.060600ms	0.007680373938976803	2.060600ms	2	2.060600ms	0.007680373938976803	
7	16	2	763	139	2	1533991.0	0	1648587.0	1	1667045.0	3	1673308.0	1	1667045.0	1.7976931348623157E308	0.0	1.066600ms	120	1.066600ms	0.0017181450376328982	266us	30	266us	2.9094852695213207E-4	42us	2	42us	0.02140009294232026	2.028100ms	17	2.028100ms	9.859216554959165E-4	2.028100ms	17	2.028100ms	9.859216554959165E-4	
8	18	2	902	139	2	1490852.0	1	1548913.0	3	1597575.0	0	1648587.0	3	1597575.0	1.7976931348623157E308	0.0	1.052ms	120	1.052ms	0.0010415151395957065	258.7us	30	258.7us	8.851125364208142E-4	41.8us	2	41.8us	0.009097846899674189	2.086600ms	21	2.086600ms	7.673727271821178E-5	2.086600ms	21	2.086600ms	7.673727271821178E-5	
9	21	2	1078	176	3	1454719.0	2	1457719.0	1	1542551.0	0	1592108.0	1	1542551.0	1.7976931348623157E308	0.0	1.047400ms	120	1.047400ms	0.0012423575970985923	260us	30	260us	7.098650631983339E-4	39.5us	2	39.5us	0.0	1.989900ms	55	1.989900ms	1.7244562779599787E-5	1.989900ms	55	1.989900ms	1.7244562779599787E-5	
10	24	2	1228	150	3	1382508.0	2	1443852.0	1	1479552.0	0	1562947.0	1	1479552.0	1.7976931348623157E308	0.0	1.056300ms	120	1.056300ms	9.01608602990786E-4	270.2us	30	270.2us	0.0013174489149862189	40.9us	2	40.9us	0.0	1.991ms	30	1.991ms	3.510643636331134E-4	1.991ms	30	1.991ms	3.510643636331134E-4	
11	26	2	1359	131	3	1365592.0	2	1373880.0	1	1479552.0	0	1544596.0	1	1479552.0	1.7976931348623157E308	0.0	1.282400ms	120	1.282400ms	5.742307291339631E-4	386.9us	30	386.9us	2.901458569102548E-4	55.1us	2	55.1us	0.0	2.018800ms	10	2.018800ms	3.56236636605356E-4	2.018800ms	10	2.018800ms	3.56236636605356E-4	
12	29	2	1493	134	2	1320091.0	1	1323961.0	3	1340871.0	0	1500396.0	3	1340871.0	1.7976931348623157E308	0.0	1.054800ms	120	1.054800ms	0.001369292985451769	282.3us	30	282.3us	5.447439798662134E-4	44us	2	44us	0.013565592828099327	2.072800ms	13	2.072800ms	1.3766923063404017E-4	2.072800ms	13	2.072800ms	1.3766923063404017E-4	
13	32	2	1615	122	2	1249963.0	1	1317847.0	3	1320701.0	0	1479202.0	3	1320701.0	1.7976931348623157E308	0.0	1.047600ms	120	1.047600ms	6.831912767736065E-4	269.8us	30	269.8us	0.001606564234395169	40.3us	2	40.3us	0.0	2.108900ms	1	2.108900ms	0.005176158310298273	2.108900ms	1	2.108900ms	0.005176158310298273	
14	35	2	1748	133	2	1235540.0	3	1273594.0	1	1301523.0	0	1344824.0	1	1301523.0	1.7976931348623157E308	0.0	1.127200ms	120	1.127200ms	9.927890485409818E-4	264.9us	30	264.9us	3.3586621756311145E-4	41.2us	2	41.2us	0.015889986627925068	2.095500ms	11	2.095500ms	1.3433124893224115E-4	2.095500ms	11	2.095500ms	1.3433124893224115E-4	
15	38	2	1871	123	2	1232868.0	0	1254693.0	3	1273594.0	1	1291513.0	3	1273594.0	1.7976931348623157E308	0.0	1.027900ms	120	1.027900ms	1.9223549563595528E-4	265.1us	30	265.1us	5.050999981912607E-5	43.9us	2	43.9us	0.027326320920288305	2.156100ms	1	2.156100ms	6.482995289509574E-4	2.156100ms	1	2.156100ms	6.482995289509574E-4	
16	41	2	1999	128	0	1150900.0	2	1209965.0	3	1273594.0	1	1288410.0	3	1273594.0	1.7976931348623157E308	0.0	1.038300ms	120	1.038300ms	8.623573675304049E-4	272.6us	30	272.6us	6.118818002078548E-4	42.1us	2	42.1us	0.0	2.25ms	7	2.25ms	3.2097052215994205E-5	2.25ms	7	2.25ms	3.2097052215994205E-5	
17	44	3	2128	129	0	1119322.0	2	1209965.0	3	1264793.0	1	1267313.0	3	1264793.0	1.7976931348623157E308	0.0	1.057600ms	120	1.057600ms	3.979436560306702E-4	261.9us	30	261.9us	8.156142410458922E-4	41.7us	2	41.7us	0.0	2.431100ms	8	2.431100ms	3.804631158224048E-4	2.431100ms	8	2.431100ms	3.804631158224048E-4	
18	47	3	2278	150	0	1114437.0	2	1209965.0	1	1252243.0	3	1264793.0	1	1252243.0	1.7976931348623157E308	0.0	1.017800ms	120	1.017800ms	1.0242785588242079E-4	249.5us	30	249.5us	1.3334732583299609E-5	38.9us	2	38.9us	0.0	2.358500ms	28	2.358500ms	1.4163548495045784E-4	2.358500ms	28	2.358500ms	1.4163548495045784E-4	
19	50	3	2491	213	0	1094148.0	2	1158400.0	3	1236145.0	1	1250886.0	3	1236145.0	1.7976931348623157E308	0.0	1.041900ms	120	1.041900ms	6.324565226521778E-4	276.1us	30	276.1us	3.1812817641615104E-4	41us	2	41us	0.0	2.627200ms	94	2.627200ms	9.30342864278827E-5	2.627200ms	94	2.627200ms	9.30342864278827E-5	
20	53	3	2680	189	0	1062213.0	2	1158400.0	3	1207407.0	1	1248196.0	3	1207407.0	1.7976931348623157E308	0.0	1.041100ms	120	1.041100ms	4.1608390288009147E-4	276.8us	30	276.8us	8.177170288277913E-4	39.9us	2	39.9us	0.0	2.524300ms	68	2.524300ms	7.018622494128605E-5	2.524300ms	68	2.524300ms	7.018622494128605E-5	
21	57	3	2887	207	0	1035066.0	2	1156022.0	3	1203570.0	1	1239778.0	3	1203570.0	1.7976931348623157E308	0.0	1.036100ms	120	1.036100ms	9.979040943771112E-5	271.5us	30	271.5us	0.0	44.4us	2	44.4us	0.0	2.640400ms	87	2.640400ms	2.9375886263736283E-4	2.640400ms	87	2.640400ms	2.9375886263736283E-4	
22	60	3	3085	198	0	1013540.0	3	1080384.0	2	1140576.0	1	1239778.0	2	1140576.0	1.7976931348623157E308	0.0	1.019400ms	120	1.019400ms	4.907083354992551E-4	243us	30	243us	5.272396355770407E-4	39.7us	2	39.7us	0.037434050366825344	2.643900ms	78	2.643900ms	6.486641976552822E-5	2.643900ms	78	2.643900ms	6.486641976552822E-5	
23	64	3	3244	159	2	995716.0	0	1012478.0	3	1052507.0	1	1214519.0	3	1052507.0	1.7976931348623157E308	0.0	1.023ms	120	1.023ms	5.492634121155933E-4	242.9us	30	242.9us	0.0	52.9us	2	52.9us	0.054715336812277304	2.618900ms	37	2.618900ms	2.831925992333998E-5	2.618900ms	37	2.618900ms	2.831925992333998E-5	
24	67	3	3426	182	2	993338.0	0	1011904.0	3	1038596.0	1	1213993.0	3	1038596.0	1.7976931348623157E308	0.0	1.039300ms	120	1.039300ms	1.1847527831667001E-4	265.4us	30	265.4us	0.0	42.3us	2	42.3us	0.0	2.733400ms	60	2.733400ms	3.9803853039754866E-5	2.733400ms	60	2.733400ms	3.9803853039754866E-5	
25	70	3	3560	134	2	966126.0	0	1008480.0	3	1013055.0	1	1088480.0	3	1013055.0	1.7976931348623157E308	0.0	1.038ms	120	1.038ms	6.039039372640368E-4	270.6us	30	270.6us	8.965616805831152E-4	39.5us	2	39.5us	0.04366458455691258	2.656900ms	13	2.656900ms	3.933899949153215E-5	2.656900ms	13	2.656900ms	3.933899949153215E-5	
26	74	3	3711	151	2	952432.0	0	1005488.0	3	1013055.0	1	1074059.0	3	1013055.0	1.7976931348623157E308	0.0	1.035400ms	120	1.035400ms	2.5121493902329113E-4	273.1us	30	273.1us	4.643400314943665E-4	38.4us	2	38.4us	0.0	2.659800ms	29	2.659800ms	8.530335908924128E-6	2.659800ms	29	2.659800ms	8.530335908924128E-6	
27	77	3	3933	222	2	952432.0	0	1005488.0	1	1006784.0	3	1013055.0	1	1006784.0	1.7976931348623157E308	0.0	1.017900ms	120	1.017900ms	5.219685324549213E-4	251.7us	30	251.7us	0.0	39.1us	2	39.1us	0.0	3.004900ms	101	3.004900ms	0.0	3.004900ms	101	3.004900ms	0.0	
28	81	3	4093	160	2	936177.0	3	1003220.0	0	1004084.0	1	1006784.0	0	1004084.0	1.7976931348623157E308	0.0	1.035800ms	120	1.035800ms	1.5502614883352675E-4	267.4us	30	267.4us	2.499514091350815E-4	39.7us	2	39.7us	0.0	2.931600ms	40	2.931600ms	2.4101458161842614E-4	2.931600ms	40	2.931600ms	2.4101458161842614E-4	
29	84	3	4292	199	2	923356.0	3	975623.0	0	1004084.0	1	1006784.0	0	1004084.0	1.7976931348623157E308	0.0	1.029300ms	120	1.029300ms	3.316777532369142E-4	267.6us	30	267.6us	4.097635836699309E-4	39.4us	2	39.4us	0.0	2.946300ms	77	2.946300ms	1.8436407068044238E-5	2.946300ms	77	2.946300ms	1.8436407068044238E-5	
30	88	3	4515	223	2	923356.0	3	975623.0	1	1001591.0	0	1004084.0	1	1001591.0	1.7976931348623157E308	0.0	1.116300ms	120	1.116300ms	4.298340061025992E-5	288.7us	30	288.7us	0.0	38.9us	2	38.9us	0.0	2.922700ms	101	2.922700ms	0.0	2.922700ms	101	2.922700ms	0.0	
31	91	3	4660	145	2	912771.0	3	970501.0	1	985447.0	0	991105.0	1	985447.0	1.7976931348623157E308	0.0	1.043500ms	120	1.043500ms	2.2361379010351254E-4	280.2us	30	280.2us	1.8217734615983973E-4	40us	2	40us	0.006463104680484888	2.863600ms	24	2.863600ms	2.5130249510120495E-4	2.863600ms	24	2.863600ms	2.5130249510120495E-4	
32	95	4	4879	219	2	906320.0	3	970501.0	1	980800.0	0	991105.0	1	980800.0	1.7976931348623157E308	0.0	1.342ms	120	1.342ms	7.061539397546224E-5	409.4us	30	409.4us	1.2527402548056694E-4	57.1us	2	57.1us	0.0	3.226ms	98	3.226ms	3.389544092680901E-5	3.226ms	98	3.226ms	3.389544092680901E-5	
33	99	3	5101	222	2	894127.0	0	932366.0	3	970501.0	1	980800.0	3	970501.0	1.7976931348623157E308	0.0	1.034100ms	120	1.034100ms	6.059956523418665E-4	255.6us	30	255.6us	4.484435225233193E-4	40.5us	2	40.5us	0.0	3.355800ms	101	3.355800ms	0.0	3.355800ms	101	3.355800ms	0.0	
34	104	4	5304	203	2	883829.0	0	914534.0	3	970501.0	1	980800.0	3	970501.0	1.7976931348623157E308	0.0	1.042700ms	120	1.042700ms	2.0748806834193964E-4	267.1us	30	267.1us	1.924343887602135E-4	41.2us	2	41.2us	0.0	3.365600ms	81	3.365600ms	7.132966321090589E-5	3.365600ms	81	3.365600ms	7.132966321090589E-5	
35	108	4	5527	223	2	875524.0	0	914534.0	3	970501.0	1	973454.0	3	970501.0	1.7976931348623157E308	0.0	1.037600ms	120	1.037600ms	1.4072015243619674E-4	255.9us	30	255.9us	3.132204683636027E-4	41.5us	2	41.5us	0.0	3.768100ms	101	3.768100ms	0.0	3.768100ms	101	3.768100ms	0.0	
36	113	4	5748	221	2	875524.0	0	913017.0	1	964540.0	3	970501.0	1	964540.0	1.7976931348623157E308	0.0	1.322300ms	120	1.322300ms	9.013210201072875E-5	400.8us	30	400.8us	0.0	39.9us	2	39.9us	0.0	3.695600ms	101	3.695600ms	0.0	3.695600ms	101	3.695600ms	0.0	
37	118	5	5886	138	2	873046.0	0	913017.0	1	959438.0	3	970501.0	1	959438.0	1.7976931348623157E308	0.0	1.329800ms	120	1.329800ms	4.407973403556808E-5	260.7us	30	260.7us	0.0	48.7us	2	48.7us	0.0	5.197700ms	16	5.197700ms	1.7689406572521382E-4	5.197700ms	16	5.197700ms	1.7689406572521382E-4	
38	123	4	6016	130	2	865082.0	0	901984.0	1	959438.0	3	970501.0	1	959438.0	1.7976931348623157E308	0.0	1.282ms	120	1.282ms	1.007009362001654E-4	377us	30	377us	0.0	42.2us	2	42.2us	0.0	3.472700ms	11	3.472700ms	8.292804731938507E-4	3.472700ms	11	3.472700ms	8.292804731938507E-4	
39	127	4	6235	219	2	859814.0	0	901984.0	3	925899.0	1	959438.0	3	925899.0	1.7976931348623157E308	0.0	1.026800ms	120	1.026800ms	5.07466344230952E-5	256us	30	256us	2.029865376923808E-4	40.3us	2	40.3us	0.02297885319025944	3.649800ms	101	3.649800ms	0.0	3.649800ms	101	3.649800ms	0.0	
40	131	4	6431	196	2	856359.0	0	901984.0	1	902344.0	3	925899.0	1	902344.0	1.7976931348623157E308	0.0	1.029700ms	120	1.029700ms	1.250333391915705E-4	256.7us	30	256.7us	0.0	40.2us	2	40.2us	0.022590829214602703	3.543100ms	74	3.543100ms	5.430149914887373E-5	3.543100ms	74	3.543100ms	5.430149914887373E-5	
41	136	4	6617	186	2	854212.0	1	899811.0	0	901984.0	3	925899.0	0	901984.0	1.7976931348623157E308	0.0	1.018800ms	120	1.018800ms	2.3392778511668877E-5	252.6us	30	252.6us	0.0	53.3us	2	53.3us	0.0	3.813600ms	65	3.813600ms	3.8571170771567894E-5	3.813600ms	65	3.813600ms	3.8571170771567894E-5	
42	140	4	6839	222	2	854212.0	1	899811.0	0	901984.0	3	925899.0	0	901984.0	1.7976931348623157E308	0.0	1.422400ms	120	1.422400ms	0.0	369.1us	30	369.1us	0.0	38.1us	2	38.1us	0.0	3.604200ms	101	3.604200ms	0.0	3.604200ms	101	3.604200ms	0.0	
43	145	4	7062	223	2	847829.0	1	899811.0	0	901984.0	3	924355.0	0	901984.0	1.7976931348623157E308	0.0	1.149600ms	120	1.149600ms	7.616626997991593E-5	282.9us	30	282.9us	2.490794634899392E-4	38.9us	2	38.9us	0.0	3.680200ms	101	3.680200ms	0.0	3.680200ms	101	3.680200ms	0.0	
44	149	4	7250	188	2	842259.0	1	899811.0	0	901984.0	3	924355.0	0	901984.0	1.7976931348623157E308	0.0	1.459900ms	120	1.459900ms	0.0	336.4us	30	336.4us	0.0	49.3us	2	49.3us	0.0	3.592100ms	67	3.592100ms	9.80555375650156E-5	3.592100ms	67	3.592100ms	9.80555375650156E-5	
45	153	4	7399	149	2	839475.0	1	899811.0	3	901032.0	0	901984.0	3	901032.0	1.7976931348623157E308	0.0	1.096600ms	120	1.096600ms	2.1026373345017131E-4	279.2us	30	279.2us	0.0	45.2us	2	45.2us	0.0	3.510300ms	27	3.510300ms	1.2242209476076983E-4	3.510300ms	27	3.510300ms	1.2242209476076983E-4	
46	158	4	7595	196	2	839336.0	1	899811.0	3	901032.0	0	901984.0	3	901032.0	1.7976931348623157E308	0.0	1.321300ms	120	1.321300ms	0.0	406us	30	406us	0.0	40.3us	2	40.3us	0.0	3.759400ms	74	3.759400ms	2.2375632131723244E-6	3.759400ms	74	3.759400ms	2.2375632131723244E-6	
47	162	4	7816	221	2	839336.0	1	899811.0	3	901032.0	0	901984.0	3	901032.0	1.7976931348623157E308	0.0	1.057600ms	120	1.057600ms	0.0	245.5us	30	245.5us	0.0	39.5us	2	39.5us	0.0	3.659300ms	101	3.659300ms	0.0	3.659300ms	101	3.659300ms	0.0	
48	166	4	7971	155	2	835931.0	1	898951.0	3	901032.0	0	901984.0	3	901032.0	1.7976931348623157E308	0.0	1.133200ms	120	1.133200ms	7.964635536425458E-6	276.6us	30	276.6us	0.0	38.4us	2	38.4us	0.0	3.560100ms	33	3.560100ms	1.229326731866847E-4	3.560100ms	33	3.560100ms	1.229326731866847E-4	
49	171	4	8194	223	2	835931.0	1	898951.0	3	901032.0	0	901478.0	3	901032.0	1.7976931348623157E308	0.0	1.043800ms	120	1.043800ms	4.674879672662372E-6	272.2us	30	272.2us	0.0	39.3us	2	39.3us	0.0	3.700600ms	101	3.700600ms	0.0	3.700600ms	101	3.700600ms	0.0	
50	175	4	8385	191	2	835931.0	1	886843.0	3	901032.0	0	901478.0	3	901032.0	1.7976931348623157E308	0.0	1.087600ms	120	1.087600ms	1.1224193532239264E-4	241.4us	30	241.4us	0.0	39.2us	2	39.2us	0.0	3.698800ms	70	3.698800ms	0.0	3.698800ms	70	3.698800ms	0.0	
51	179	4	8607	222	2	833519.0	1	886843.0	3	899203.0	0	901478.0	3	899203.0	1.7976931348623157E308	0.0	1.015300ms	120	1.015300ms	4.096083519464685E-5	245.7us	30	245.7us	9.618018712070908E-5	39.3us	2	39.3us	0.0	3.751200ms	101	3.751200ms	0.0	3.751200ms	101	3.751200ms	0.0	
52	184	4	8830	223	2	833519.0	1	884880.0	3	899203.0	0	901478.0	3	899203.0	1.7976931348623157E308	0.0	1.115100ms	120	1.115100ms	1.84455798076244E-5	258.1us	30	258.1us	0.0	39us	2	39us	0.0	3.786500ms	101	3.786500ms	0.0	3.786500ms	101	3.786500ms	0.0	
