"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	126	126	1	3465910.0	2	3528048.0	0	3639948.0	3	4100409.0	0	3639948.0	1.7976931348623157E308	0.0	1.159600ms	120	1.159600ms	0.0031636156082783993	283.6us	30	283.6us	0.0034509329311958564	61.1us	2	61.1us	0.14934699706628723	1.513600ms	1	1.513600ms	0.028626815267698613	1.513600ms	1	1.513600ms	0.028626815267698613	
3	5	2	249	123	3	2973755.0	1	3213145.0	0	3273295.0	2	3316701.0	0	3273295.0	1.7976931348623157E308	0.0	1.149100ms	120	1.149100ms	0.002533759196739287	288.5us	30	288.5us	0.0023281048506470356	56.4us	2	56.4us	0.10913778112843081	1.577800ms	1	1.577800ms	0.0033174548675528603	1.577800ms	1	1.577800ms	0.0033174548675528603	
4	7	2	376	127	2	2689600.0	3	2810943.0	1	3018885.0	0	3062397.0	1	3018885.0	1.7976931348623157E308	0.0	1.145800ms	120	1.145800ms	0.0019402592140745328	282.7us	30	282.7us	0.001816721185568889	58us	2	58us	0.07164483623938367	1.830300ms	7	1.830300ms	3.7470662992946024E-5	1.830300ms	7	1.830300ms	3.7470662992946024E-5	
5	10	2	499	123	0	2536147.0	2	2551623.0	3	2573564.0	1	2874528.0	3	2573564.0	1.7976931348623157E308	0.0	1.136200ms	120	1.136200ms	0.0016490259790780865	283.8us	30	283.8us	0.0015794063776582582	61.7us	2	61.7us	0.08154119804568444	1.831200ms	1	1.831200ms	0.004112879238548528	1.831200ms	1	1.831200ms	0.004112879238548528	
6	13	2	626	127	0	2376736.0	1	2413465.0	2	2519198.0	3	2538594.0	2	2519198.0	1.7976931348623157E308	0.0	1.458400ms	120	1.458400ms	0.0010809958302514364	440.9us	30	440.9us	0.0013877122445696167	59.7us	2	59.7us	0.054003982193092215	1.935ms	5	1.935ms	0.004429238526000257	1.935ms	5	1.935ms	0.004429238526000257	
7	16	3	756	130	2	2226439.0	1	2311208.0	0	2324249.0	3	2457583.0	0	2324249.0	1.7976931348623157E308	0.0	1.204900ms	120	1.204900ms	8.161287019706596E-4	290.5us	30	290.5us	3.629474693613225E-4	62.1us	2	62.1us	0.053567073971687196	2.436500ms	9	2.436500ms	0.0012576070712102662	2.436500ms	9	2.436500ms	0.0012576070712102662	
8	19	3	945	189	2	2146599.0	0	2245924.0	1	2302779.0	3	2457583.0	1	2302779.0	1.7976931348623157E308	0.0	1.173700ms	120	1.173700ms	5.86750140323077E-4	313.6us	30	313.6us	0.00110213163567644	59.4us	2	59.4us	0.0	2.364100ms	69	2.364100ms	4.190743506832481E-5	2.364100ms	69	2.364100ms	4.190743506832481E-5	
9	22	3	1110	165	2	2048551.0	0	2148903.0	3	2156526.0	1	2277990.0	3	2156526.0	1.7976931348623157E308	0.0	1.400800ms	120	1.400800ms	0.0010516286578455389	276.2us	30	276.2us	0.0014846689461564977	62.5us	2	62.5us	0.04875481316399077	2.123ms	43	2.123ms	2.7647845363434444E-5	2.123ms	43	2.123ms	2.7647845363434444E-5	
10	25	3	1279	169	2	2011594.0	3	2103656.0	0	2134693.0	1	2232669.0	0	2134693.0	1.7976931348623157E308	0.0	1.109700ms	120	1.109700ms	5.630851555977987E-4	285.4us	30	285.4us	5.515363131678072E-4	55.1us	2	55.1us	0.0	2.281400ms	50	2.281400ms	3.039221381356816E-5	2.281400ms	50	2.281400ms	3.039221381356816E-5	
11	28	3	1494	215	2	1928180.0	3	2069884.0	0	2134693.0	1	2202089.0	0	2134693.0	1.7976931348623157E308	0.0	1.445300ms	120	1.445300ms	5.563318422552347E-4	439.2us	30	439.2us	0.0012336417978877116	60.9us	2	60.9us	0.0	2.340900ms	93	2.340900ms	4.9770619503682876E-5	2.340900ms	93	2.340900ms	4.9770619503682876E-5	
12	31	3	1635	141	2	1913654.0	3	1958242.0	0	2126703.0	1	2152352.0	0	2126703.0	1.7976931348623157E308	0.0	1.109ms	120	1.109ms	6.688796949610175E-4	284.3us	30	284.3us	0.0	63.3us	2	63.3us	0.0	2.290500ms	22	2.290500ms	3.4243313760786E-4	2.290500ms	22	2.290500ms	3.4243313760786E-4	
13	37	6	1759	124	2	1870490.0	3	1907180.0	1	2031613.0	0	2126703.0	1	2031613.0	1.7976931348623157E308	0.0	1.140300ms	120	1.140300ms	5.725043556406258E-4	281.5us	30	281.5us	6.301494021605736E-4	74.9us	2	74.9us	0.016581163304143554	5.368400ms	2	5.368400ms	0.001860837957122885	5.368400ms	2	5.368400ms	0.001860837957122885	
