"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	302	302	8	3193746.0	2	3300190.0	1	3311938.0	9	3918416.0	4	3656378.0	1.7976931348623157E308	0.0	7.554400ms	300	7.554400ms	0.004342309681834922	1.054ms	30	1.054ms	0.0036084664188441363	207.4us	5	207.4us	0.09080585001595061	0s	0	0s	0.0	0s	0	0s	0.0	
3	3	1	600	298	1	2827245.0	8	2895904.0	3	2917102.0	6	3574142.0	7	3037663.0	1.7976931348623157E308	0.0	4.306ms	300	4.306ms	0.002372220665682622	485.5us	30	485.5us	0.0031085961960239383	262us	5	262us	0.10937323292818828	0s	0	0s	0.0	0s	0	0s	0.0	
4	4	0	896	296	7	2587454.0	5	2617683.0	1	2708125.0	4	3187723.0	2	2871929.0	1.7976931348623157E308	0.0	4.002100ms	300	4.002100ms	0.0011470989205334325	291us	30	291us	0.0014044296361534518	156.7us	5	156.7us	0.10052762750098028	0s	0	0s	0.0	0s	0	0s	0.0	
5	5	0	1193	297	7	2514706.0	1	2562496.0	5	2617683.0	3	2867803.0	2	2728135.0	1.7976931348623157E308	0.0	3.984900ms	300	3.984900ms	9.669556009961632E-4	456.8us	30	456.8us	9.371889638746541E-4	154.9us	5	154.9us	0.050820772504526546	0s	0	0s	0.0	0s	0	0s	0.0	
6	5	0	1493	300	9	2241333.0	0	2391332.0	3	2408617.0	8	2677052.0	6	2578217.0	1.7976931348623157E308	0.0	4.19ms	300	4.19ms	8.456250572255623E-4	458.6us	30	458.6us	7.725754024526133E-4	150.3us	5	150.3us	0.09845223436955493	0s	0	0s	0.0	0s	0	0s	0.0	
7	8	2	1786	293	9	2102437.0	7	2103635.0	0	2248559.0	2	2587277.0	1	2342450.0	1.7976931348623157E308	0.0	3.947200ms	300	3.947200ms	0.0014605072308248427	450.9us	30	450.9us	0.0020656755005466227	156.7us	5	156.7us	0.066516289168939	0s	0	0s	0.0	0s	0	0s	0.0	
8	9	0	2082	296	1	1877025.0	7	2044363.0	9	2094707.0	5	2501406.0	6	2194787.0	1.7976931348623157E308	0.0	3.974700ms	300	3.974700ms	8.322216439131306E-4	453.3us	30	453.3us	1.2255618915889925E-4	144.7us	5	144.7us	0.07413834468220866	0s	0	0s	0.0	0s	0	0s	0.0	
9	10	1	2375	293	2	1740798.0	1	1803110.0	7	1956870.0	4	2181088.0	9	2094707.0	1.7976931348623157E308	0.0	4.238600ms	300	4.238600ms	7.510997952186457E-4	457us	30	457us	0.0013126268074923526	172.3us	5	172.3us	0.0841345593889753	0s	0	0s	0.0	0s	0	0s	0.0	
10	11	1	2675	300	2	1731265.0	1	1783691.0	8	1845733.0	4	2181088.0	9	2057797.0	1.7976931348623157E308	0.0	4.196700ms	300	4.196700ms	4.7892686738828296E-4	468.5us	30	468.5us	1.8254080408333835E-4	290.8us	5	290.8us	0.018669750965875954	0s	0	0s	0.0	0s	0	0s	0.0	
11	12	1	2971	296	2	1725499.0	1	1783691.0	8	1829977.0	6	2027645.0	7	1915505.0	1.7976931348623157E308	0.0	4.035ms	300	4.035ms	7.404643148023597E-4	451.6us	30	451.6us	1.1101708866060323E-4	214.4us	5	214.4us	0.03761679133500508	0s	0	0s	0.0	0s	0	0s	0.0	
12	13	0	3271	300	2	1689540.0	1	1783691.0	0	1798208.0	4	1985954.0	5	1861987.0	1.7976931348623157E308	0.0	4.104800ms	300	4.104800ms	5.595078188706633E-4	486.7us	30	486.7us	6.946589556605543E-4	158.9us	5	158.9us	0.013073332133494575	0s	0	0s	0.0	0s	0	0s	0.0	
13	14	1	3573	302	2	1689540.0	0	1760436.0	1	1780805.0	3	1926312.0	4	1836237.0	1.7976931348623157E308	0.0	4.080400ms	300	4.080400ms	3.244290579957961E-4	463us	30	463us	0.0	231.9us	5	231.9us	0.01411311641659374	0s	0	0s	0.0	0s	0	0s	0.0	
14	17	3	3867	294	6	1546392.0	2	1643924.0	9	1727177.0	3	1922845.0	8	1773014.0	1.7976931348623157E308	0.0	3.835900ms	300	3.835900ms	4.1514304852623347E-4	287us	30	287us	7.397925852611305E-4	169.5us	5	169.5us	0.03204235564043678	2.180200ms	1	2.180200ms	0.004914355386673286	2.180200ms	1	2.180200ms	0.004914355386673286	
15	18	0	4157	290	6	1519531.0	2	1618037.0	4	1723074.0	3	1919625.0	0	1747286.0	1.7976931348623157E308	0.0	3.872200ms	300	3.872200ms	3.26657447421238E-4	414.1us	30	414.1us	5.790036851371879E-4	163.1us	5	163.1us	0.01127531414191223	0s	0	0s	0.0	0s	0	0s	0.0	
16	19	0	4448	291	6	1517740.0	1	1550724.0	2	1553744.0	8	1753303.0	7	1705132.0	1.7976931348623157E308	0.0	3.908400ms	300	3.908400ms	4.90075242723799E-4	415.4us	30	415.4us	3.9288438340516026E-5	150.4us	5	150.4us	0.05182477514678439	0s	0	0s	0.0	0s	0	0s	0.0	
17	20	0	4741	293	6	1517740.0	1	1527211.0	2	1553744.0	0	1708074.0	5	1676583.0	1.7976931348623157E308	0.0	4.235800ms	300	4.235800ms	3.6667854637143616E-4	459.8us	30	459.8us	0.0	216.1us	5	216.1us	0.01759287714931044	0s	0	0s	0.0	0s	0	0s	0.0	
18	23	3	5062	321	6	1478648.0	1	1527211.0	2	1535963.0	0	1708074.0	4	1634361.0	1.7976931348623157E308	0.0	4.050400ms	300	4.050400ms	2.583357618329666E-4	453.3us	30	453.3us	6.281161955242235E-4	184.7us	5	184.7us	0.005564386310130165	2.306200ms	23	2.306200ms	3.063479395279376E-4	2.306200ms	23	2.306200ms	3.063479395279376E-4	
19	24	0	5360	298	6	1476761.0	1	1504972.0	5	1521445.0	0	1705603.0	3	1611510.0	1.7976931348623157E308	0.0	4.023600ms	300	4.023600ms	3.629956086224495E-4	445.7us	30	445.7us	4.253885982329712E-5	155.3us	5	155.3us	0.010903681369555728	0s	0	0s	0.0	0s	0	0s	0.0	
20	25	0	5662	302	6	1426491.0	1	1490084.0	5	1513302.0	8	1673479.0	9	1533632.0	1.7976931348623157E308	0.0	3.879200ms	300	3.879200ms	4.032657148899062E-4	413.5us	30	413.5us	0.0011346904926841021	150.8us	5	150.8us	0.020230264604365722	0s	0	0s	0.0	0s	0	0s	0.0	
21	26	0	5954	292	6	1426491.0	1	1476180.0	2	1484948.0	8	1641532.0	9	1533632.0	1.7976931348623157E308	0.0	4.228100ms	300	4.228100ms	2.0266766535962413E-4	446.9us	30	446.9us	0.0	164.3us	5	164.3us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
22	30	3	6253	299	6	1423668.0	2	1458845.0	9	1465470.0	7	1619167.0	0	1533079.0	1.7976931348623157E308	0.0	3.927600ms	300	3.927600ms	4.295252088284603E-4	454.4us	30	454.4us	0.0	135.7us	5	135.7us	0.005832689980386418	2.502600ms	6	2.502600ms	3.298303319123619E-4	2.502600ms	6	2.502600ms	3.298303319123619E-4	
23	33	3	6584	331	6	1412158.0	9	1442979.0	2	1457691.0	7	1575424.0	0	1533079.0	1.7976931348623157E308	0.0	3.862100ms	300	3.862100ms	1.1997524739950379E-4	425.9us	30	425.9us	1.060002743536496E-4	135.2us	5	135.2us	0.005403148656068213	2.763400ms	37	2.763400ms	1.3298347952213916E-4	2.763400ms	37	2.763400ms	1.3298347952213916E-4	
24	34	0	6873	289	9	1397081.0	6	1412158.0	2	1457691.0	7	1566445.0	8	1486652.0	1.7976931348623157E308	0.0	3.621700ms	300	3.621700ms	2.984001317488231E-4	438.1us	30	438.1us	0.0	165.1us	5	165.1us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
