"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	32	32	0	1953729.0	null	null	null	null	0	1953729.0	0	1953729.0	1.7976931348623157E308	0.0	269.1us	30	269.1us	0.007144550898604925	269.1us	30	269.1us	0.007144550898604925	0s	0	0s	0.0	1.806500ms	1	1.806500ms	0.017573046208013143	1.806500ms	1	1.806500ms	0.017573046208013143	
3	4	2	68	36	0	1558043.0	null	null	null	null	0	1558043.0	0	1558043.0	1.7976931348623157E308	0.0	250.6us	30	250.6us	0.006702454981298222	250.6us	30	250.6us	0.006702454981298222	0s	0	0s	0.0	1.620400ms	6	1.620400ms	3.0352213638636566E-4	1.620400ms	6	1.620400ms	3.0352213638636566E-4	
4	7	2	104	36	0	1328309.0	null	null	null	null	0	1328309.0	0	1328309.0	1.7976931348623157E308	0.0	248.6us	30	248.6us	0.004546109633436209	248.6us	30	248.6us	0.004546109633436209	0s	0	0s	0.0	1.654700ms	6	1.654700ms	0.002135798990571295	1.654700ms	6	1.654700ms	0.002135798990571295	
5	9	2	140	36	0	1275750.0	null	null	null	null	0	1275750.0	0	1275750.0	1.7976931348623157E308	0.0	253.5us	30	253.5us	9.552640789083318E-4	253.5us	30	253.5us	9.552640789083318E-4	0s	0	0s	0.0	1.705800ms	6	1.705800ms	0.001872054368875516	1.705800ms	6	1.705800ms	0.001872054368875516	
6	11	2	177	37	0	1200626.0	null	null	null	null	0	1200626.0	0	1200626.0	1.7976931348623157E308	0.0	257.6us	30	257.6us	0.0010974618626968468	257.6us	30	257.6us	0.0010974618626968468	0s	0	0s	0.0	1.797600ms	7	1.797600ms	0.0038351669886061346	1.797600ms	7	1.797600ms	0.0038351669886061346	
7	14	2	213	36	0	1118369.0	null	null	null	null	0	1118369.0	0	1118369.0	1.7976931348623157E308	0.0	248.5us	30	248.5us	0.0014231579451948085	248.5us	30	248.5us	0.0014231579451948085	0s	0	0s	0.0	1.945500ms	6	1.945500ms	0.004494738578041779	1.945500ms	6	1.945500ms	0.004494738578041779	
8	16	2	245	32	0	1074406.0	null	null	null	null	0	1074406.0	0	1074406.0	1.7976931348623157E308	0.0	258.6us	30	258.6us	0.0011798906836937703	258.6us	30	258.6us	0.0011798906836937703	0s	0	0s	0.0	2.004ms	2	2.004ms	0.002028400286488652	2.004ms	2	2.004ms	0.002028400286488652	
9	19	2	295	50	0	1028785.0	null	null	null	null	0	1028785.0	0	1028785.0	1.7976931348623157E308	0.0	247.5us	30	247.5us	8.765478954363933E-4	247.5us	30	247.5us	8.765478954363933E-4	0s	0	0s	0.0	2.156200ms	20	2.156200ms	8.300865780719758E-4	2.156200ms	20	2.156200ms	8.300865780719758E-4	
10	22	2	360	65	0	1022948.0	null	null	null	null	0	1022948.0	0	1022948.0	1.7976931348623157E308	0.0	237.9us	30	237.9us	0.0	237.9us	30	237.9us	0.0	0s	0	0s	0.0	2.059200ms	35	2.059200ms	1.6210522953914453E-4	2.059200ms	35	2.059200ms	1.6210522953914453E-4	
11	24	2	435	75	0	983348.0	null	null	null	null	0	983348.0	0	983348.0	1.7976931348623157E308	0.0	237.7us	30	237.7us	8.990645216830314E-4	237.7us	30	237.7us	8.990645216830314E-4	0s	0	0s	0.0	2.191600ms	45	2.191600ms	2.6811398689539077E-4	2.191600ms	45	2.191600ms	2.6811398689539077E-4	
