"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	126	126	1	1261860.0	0	1285481.0	3	1351605.0	2	1588809.0	3	1351605.0	1.7976931348623157E308	0.0	1.143400ms	120	1.143400ms	0.006951453014002061	413.7us	30	413.7us	0.005347515853774439	28.8us	2	28.8us	0.0878406051326947	1.608400ms	2	1.608400ms	0.01631473947974066	1.608400ms	2	1.608400ms	0.01631473947974066	
3	5	2	286	160	2	1029491.0	3	1091029.0	1	1098294.0	0	1111782.0	1	1098294.0	1.7976931348623157E308	0.0	949.2us	120	949.2us	0.004111452426349765	237.3us	30	237.3us	0.0021576166328168573	34.2us	2	34.2us	0.13972699046896137	2.172900ms	39	2.172900ms	0.0017791197121709234	2.172900ms	39	2.172900ms	0.0017791197121709234	
4	8	2	414	128	0	887934.0	1	896974.0	2	947602.0	3	1073770.0	2	947602.0	1.7976931348623157E308	0.0	1.003300ms	120	1.003300ms	0.0032204058654338942	262.6us	30	262.6us	0.002527076516455599	27.5us	2	27.5us	0.04954456639114846	1.663200ms	6	1.663200ms	6.72824402220773E-4	1.663200ms	6	1.663200ms	6.72824402220773E-4	
5	10	2	538	124	0	857364.0	1	896974.0	2	944799.0	3	1064088.0	2	944799.0	1.7976931348623157E308	0.0	917.2us	120	917.2us	2.1983340252380024E-4	228.7us	30	228.7us	4.801728944297867E-4	38.9us	2	38.9us	0.0	1.775ms	6	1.775ms	0.0033859498566334856	1.775ms	6	1.775ms	0.0033859498566334856	
6	13	2	720	182	2	771819.0	0	831713.0	1	866473.0	3	1002817.0	1	866473.0	1.7976931348623157E308	0.0	902us	120	902us	0.0020224927126009716	233.6us	30	233.6us	8.427801353276587E-4	23.9us	2	23.9us	0.03274876455203701	2.015500ms	63	2.015500ms	7.548052602428488E-5	2.015500ms	63	2.015500ms	7.548052602428488E-5	
7	15	2	887	167	2	744030.0	3	811928.0	0	812525.0	1	844333.0	0	812525.0	1.7976931348623157E308	0.0	947.1us	120	947.1us	0.0013857422015312944	246.8us	30	246.8us	0.0011018897087937166	27.5us	2	27.5us	0.05775829488331369	2.135900ms	45	2.135900ms	6.77476051883779E-5	2.135900ms	45	2.135900ms	6.77476051883779E-5	
8	18	2	1011	124	2	707305.0	3	756755.0	0	796770.0	1	820760.0	0	796770.0	1.7976931348623157E308	0.0	937.7us	120	937.7us	0.0012879954180597352	249.5us	30	249.5us	0.0013099042835391316	24us	2	24us	0.0	2.094500ms	3	2.094500ms	0.00349134667508925	2.094500ms	3	2.094500ms	0.00349134667508925	
9	21	2	1189	178	2	654987.0	3	748199.0	0	796770.0	1	801963.0	0	796770.0	1.7976931348623157E308	0.0	927.8us	120	927.8us	6.850588208596316E-4	233.2us	30	233.2us	0.002363362979984966	28.3us	2	28.3us	0.011450972269603787	1.929700ms	56	1.929700ms	5.895112938750423E-5	1.929700ms	56	1.929700ms	5.895112938750423E-5	
10	24	2	1406	217	2	652355.0	3	694802.0	1	738242.0	0	781154.0	1	738242.0	1.7976931348623157E308	0.0	921.7us	120	921.7us	7.915409059964295E-4	230.5us	30	230.5us	1.3394667883993573E-4	24.2us	2	24.2us	0.0397281420713923	2.104400ms	101	2.104400ms	0.0	2.104400ms	101	2.104400ms	0.0	
11	26	2	1571	165	2	651825.0	3	694802.0	1	738242.0	0	781154.0	1	738242.0	1.7976931348623157E308	0.0	901.5us	120	901.5us	0.0	232.5us	30	232.5us	0.0	27.3us	2	27.3us	0.0	2.008400ms	44	2.008400ms	1.846456997410161E-5	2.008400ms	44	2.008400ms	1.846456997410161E-5	
12	29	2	1794	223	2	651825.0	3	694802.0	1	738242.0	0	767235.0	1	738242.0	1.7976931348623157E308	0.0	896.2us	120	896.2us	1.4848757948710082E-4	226.5us	30	226.5us	0.0	27.8us	2	27.8us	0.0	2.179ms	101	2.179ms	0.0	2.179ms	101	2.179ms	0.0	
13	32	2	1947	153	1	635939.0	2	639821.0	3	694802.0	0	767235.0	3	694802.0	1.7976931348623157E308	0.0	1.018ms	120	1.018ms	8.150415582026745E-4	250.3us	30	250.3us	5.098805712878611E-4	22.8us	2	22.8us	0.03055502125319337	2.048100ms	32	2.048100ms	9.900088213861055E-5	2.048100ms	32	2.048100ms	9.900088213861055E-5	
14	35	2	2108	161	1	632901.0	2	639821.0	3	694802.0	0	767235.0	3	694802.0	1.7976931348623157E308	0.0	932.4us	120	932.4us	0.0	245.4us	30	245.4us	0.0	24.2us	2	24.2us	0.0	2.173300ms	39	2.173300ms	1.224919935676792E-4	2.173300ms	39	2.173300ms	1.224919935676792E-4	
15	38	3	2236	128	1	587294.0	2	627803.0	0	654332.0	3	688910.0	0	654332.0	1.7976931348623157E308	0.0	932.7us	120	932.7us	0.0014743804855974366	240.7us	30	240.7us	0.001589839383738604	27.5us	2	27.5us	0.025159827171596705	2.488600ms	9	2.488600ms	0.002842817790179228	2.488600ms	9	2.488600ms	0.002842817790179228	
16	41	3	2433	197	1	586963.0	2	627803.0	0	654332.0	3	688910.0	0	654332.0	1.7976931348623157E308	0.0	888.7us	120	888.7us	0.0	203.4us	30	203.4us	0.0	28us	2	28us	0.0	2.378900ms	75	2.378900ms	7.514691676287674E-6	2.378900ms	75	2.378900ms	7.514691676287674E-6	
17	44	3	2655	222	1	586963.0	2	602382.0	0	653881.0	3	688910.0	0	653881.0	1.7976931348623157E308	0.0	903.3us	120	903.3us	3.4317711685410236E-4	229.7us	30	229.7us	0.0	24us	2	24us	0.0	2.506600ms	101	2.506600ms	0.0	2.506600ms	101	2.506600ms	0.0	
18	47	3	2830	175	1	586636.0	2	598795.0	0	653881.0	3	688910.0	0	653881.0	1.7976931348623157E308	0.0	940.8us	120	940.8us	4.962244334436687E-5	235.1us	30	235.1us	0.0	27.9us	2	27.9us	0.0	2.421400ms	53	2.421400ms	1.051141438345234E-5	2.421400ms	53	2.421400ms	1.051141438345234E-5	
19	50	3	3051	221	1	579400.0	2	598795.0	0	641510.0	3	688910.0	0	641510.0	1.7976931348623157E308	0.0	919.2us	120	919.2us	2.604506694230152E-4	211.2us	30	211.2us	4.11157855978835E-4	23.9us	2	23.9us	0.0	2.600100ms	101	2.600100ms	0.0	2.600100ms	101	2.600100ms	0.0	
20	53	3	3271	220	1	579400.0	2	598795.0	0	641190.0	3	688910.0	0	641190.0	1.7976931348623157E308	0.0	920.5us	120	920.5us	4.156859077281138E-6	224.1us	30	224.1us	0.0	25.8us	2	25.8us	0.0	2.604ms	101	2.604ms	0.0	2.604ms	101	2.604ms	0.0	
