"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	33	33	0	4068067.0	null	null	null	null	0	4068067.0	0	4068067.0	1.7976931348623157E308	0.0	317us	30	317us	0.00386174342737499	317us	30	317us	0.00386174342737499	0s	0	0s	0.0	1.516800ms	2	1.516800ms	2.0074017508281417E-4	1.516800ms	2	1.516800ms	2.0074017508281417E-4	
3	4	2	64	31	0	3766100.0	null	null	null	null	0	3766100.0	0	3766100.0	1.7976931348623157E308	0.0	287.5us	30	287.5us	0.0017237428722937616	287.5us	30	287.5us	0.0017237428722937616	0s	0	0s	0.0	2.003200ms	1	2.003200ms	0.023744200869847965	2.003200ms	1	2.003200ms	0.023744200869847965	
4	7	2	96	32	0	3422401.0	null	null	null	null	0	3422401.0	0	3422401.0	1.7976931348623157E308	0.0	297.8us	30	297.8us	0.003031203729257492	297.8us	30	297.8us	0.003031203729257492	0s	0	0s	0.0	1.730800ms	2	1.730800ms	1.7883221369585645E-4	1.730800ms	2	1.730800ms	1.7883221369585645E-4	
5	10	3	134	38	0	3342015.0	null	null	null	null	0	3342015.0	0	3342015.0	1.7976931348623157E308	0.0	292.1us	30	292.1us	6.800298392403592E-4	292.1us	30	292.1us	6.800298392403592E-4	0s	0	0s	0.0	2.469400ms	8	2.469400ms	3.939485758682332E-4	2.469400ms	8	2.469400ms	3.939485758682332E-4	
6	12	2	167	33	0	3252189.0	null	null	null	null	0	3252189.0	0	3252189.0	1.7976931348623157E308	0.0	297us	30	297us	8.623286447807632E-4	297us	30	297us	8.623286447807632E-4	0s	0	0s	0.0	1.957900ms	3	1.957900ms	3.449017035132007E-4	1.957900ms	3	1.957900ms	3.449017035132007E-4	
7	15	2	198	31	0	3116536.0	null	null	null	null	0	3116536.0	0	3116536.0	1.7976931348623157E308	0.0	291.3us	30	291.3us	0.0012557906680697672	291.3us	30	291.3us	0.0012557906680697672	0s	0	0s	0.0	1.969300ms	1	1.969300ms	0.004195635616503268	1.969300ms	1	1.969300ms	0.004195635616503268	
8	18	2	233	35	0	3051026.0	null	null	null	null	0	3051026.0	0	3051026.0	1.7976931348623157E308	0.0	301.2us	30	301.2us	6.555003896458318E-4	301.2us	30	301.2us	6.555003896458318E-4	0s	0	0s	0.0	2.227200ms	5	2.227200ms	2.76460788516486E-4	2.227200ms	5	2.227200ms	2.76460788516486E-4	
9	21	3	337	104	0	2965420.0	null	null	null	null	0	2965420.0	0	2965420.0	1.7976931348623157E308	0.0	269.5us	30	269.5us	5.140770794666867E-4	269.5us	30	269.5us	5.140770794666867E-4	0s	0	0s	0.0	2.391400ms	74	2.391400ms	1.7342858931229516E-4	2.391400ms	74	2.391400ms	1.7342858931229516E-4	
10	23	2	370	33	0	2870540.0	null	null	null	null	0	2870540.0	0	2870540.0	1.7976931348623157E308	0.0	294.9us	30	294.9us	5.498031473806157E-4	294.9us	30	294.9us	5.498031473806157E-4	0s	0	0s	0.0	1.901300ms	3	1.901300ms	0.005253780802269718	1.901300ms	3	1.901300ms	0.005253780802269718	
11	26	2	408	38	0	2802043.0	null	null	null	null	0	2802043.0	0	2802043.0	1.7976931348623157E308	0.0	295.2us	30	295.2us	7.69571456081027E-4	295.2us	30	295.2us	7.69571456081027E-4	0s	0	0s	0.0	1.992800ms	8	1.992800ms	9.915381774858179E-5	1.992800ms	8	1.992800ms	9.915381774858179E-5	
12	31	4	441	33	0	2724720.0	null	null	null	null	0	2724720.0	0	2724720.0	1.7976931348623157E308	0.0	1.731300ms	30	1.731300ms	3.8437548597149244E-4	1.731300ms	30	1.731300ms	3.8437548597149244E-4	0s	0	0s	0.0	2.680900ms	3	2.680900ms	0.005417118866484216	2.680900ms	3	2.680900ms	0.005417118866484216	
13	34	2	473	32	0	2645864.0	null	null	null	null	0	2645864.0	0	2645864.0	1.7976931348623157E308	0.0	287.9us	30	287.9us	3.088682610589588E-4	287.9us	30	287.9us	3.088682610589588E-4	0s	0	0s	0.0	2.182500ms	2	2.182500ms	0.009929460641827426	2.182500ms	2	2.182500ms	0.009929460641827426	
14	36	2	506	33	0	2633461.0	null	null	null	null	0	2633461.0	0	2633461.0	1.7976931348623157E308	0.0	286.7us	30	286.7us	4.709563637315117E-5	286.7us	30	286.7us	4.709563637315117E-5	0s	0	0s	0.0	2.146400ms	3	2.146400ms	0.0010931526840885681	2.146400ms	3	2.146400ms	0.0010931526840885681	
15	39	2	541	35	0	2570429.0	null	null	null	null	0	2570429.0	0	2570429.0	1.7976931348623157E308	0.0	288.1us	30	288.1us	7.649133716917703E-4	288.1us	30	288.1us	7.649133716917703E-4	0s	0	0s	0.0	2.345ms	5	2.345ms	2.0216741390892689E-4	2.345ms	5	2.345ms	2.0216741390892689E-4	
16	42	2	577	36	0	2484498.0	null	null	null	null	0	2484498.0	0	2484498.0	1.7976931348623157E308	0.0	284.2us	30	284.2us	9.715953717923183E-4	284.2us	30	284.2us	9.715953717923183E-4	0s	0	0s	0.0	2.307300ms	6	2.307300ms	7.35220981919101E-4	2.307300ms	6	2.307300ms	7.35220981919101E-4	
17	45	3	647	70	0	2423998.0	null	null	null	null	0	2423998.0	0	2423998.0	1.7976931348623157E308	0.0	290.1us	30	290.1us	4.1111574475690325E-6	290.1us	30	290.1us	4.1111574475690325E-6	0s	0	0s	0.0	2.457100ms	40	2.457100ms	6.057662352716737E-4	2.457100ms	40	2.457100ms	6.057662352716737E-4	
18	48	2	681	34	0	2369349.0	null	null	null	null	0	2369349.0	0	2369349.0	1.7976931348623157E308	0.0	291us	30	291us	2.123262451678265E-4	291us	30	291us	2.123262451678265E-4	0s	0	0s	0.0	2.332200ms	4	2.332200ms	0.0040697228298043064	2.332200ms	4	2.332200ms	0.0040697228298043064	
19	51	3	739	58	0	2348319.0	null	null	null	null	0	2348319.0	0	2348319.0	1.7976931348623157E308	0.0	285.2us	30	285.2us	1.7338826856584758E-4	285.2us	30	285.2us	1.7338826856584758E-4	0s	0	0s	0.0	2.472600ms	28	2.472600ms	1.3190784231690528E-4	2.472600ms	28	2.472600ms	1.3190784231690528E-4	
20	54	3	772	33	0	2337312.0	null	null	null	null	0	2337312.0	0	2337312.0	1.7976931348623157E308	0.0	265.4us	30	265.4us	0.0	265.4us	30	265.4us	0.0	0s	0	0s	0.0	2.543900ms	3	2.543900ms	0.0015623942062386043	2.543900ms	3	2.543900ms	0.0015623942062386043	
21	58	3	812	40	0	2318639.0	null	null	null	null	0	2318639.0	0	2318639.0	1.7976931348623157E308	0.0	282.3us	30	282.3us	0.0	282.3us	30	282.3us	0.0	0s	0	0s	0.0	3.137ms	10	3.137ms	7.98909174299367E-4	3.137ms	10	3.137ms	7.98909174299367E-4	
22	63	5	856	44	0	2311855.0	null	null	null	null	0	2311855.0	0	2311855.0	1.7976931348623157E308	0.0	1.396500ms	30	1.396500ms	0.0	1.396500ms	30	1.396500ms	0.0	0s	0	0s	0.0	2.561300ms	14	2.561300ms	2.0898959629827335E-4	2.561300ms	14	2.561300ms	2.0898959629827335E-4	
23	67	3	894	38	0	2301155.0	null	null	null	null	0	2301155.0	0	2301155.0	1.7976931348623157E308	0.0	652.8us	30	652.8us	0.0	652.8us	30	652.8us	0.0	0s	0	0s	0.0	2.515600ms	8	2.515600ms	5.785397440583456E-4	2.515600ms	8	2.515600ms	5.785397440583456E-4	
24	71	3	930	36	0	2288762.0	null	null	null	null	0	2288762.0	0	2288762.0	1.7976931348623157E308	0.0	577us	30	577us	9.194979607943429E-5	577us	30	577us	9.194979607943429E-5	0s	0	0s	0.0	2.707500ms	6	2.707500ms	4.3905488041149726E-4	2.707500ms	6	2.707500ms	4.3905488041149726E-4	
25	74	3	1000	70	0	2217128.0	null	null	null	null	0	2217128.0	0	2217128.0	1.7976931348623157E308	0.0	293.1us	30	293.1us	0.0010375707530610753	293.1us	30	293.1us	0.0010375707530610753	0s	0	0s	0.0	2.987700ms	40	2.987700ms	4.412865994804505E-6	2.987700ms	40	2.987700ms	4.412865994804505E-6	
26	78	3	1079	79	0	2160793.0	null	null	null	null	0	2160793.0	0	2160793.0	1.7976931348623157E308	0.0	283.5us	30	283.5us	8.065929182758465E-4	283.5us	30	283.5us	8.065929182758465E-4	0s	0	0s	0.0	3.174300ms	49	3.174300ms	2.5331539408696033E-5	3.174300ms	49	3.174300ms	2.5331539408696033E-5	
27	81	3	1123	44	0	2136115.0	null	null	null	null	0	2136115.0	0	2136115.0	1.7976931348623157E308	0.0	284.4us	30	284.4us	1.5270654527187454E-4	284.4us	30	284.4us	1.5270654527187454E-4	0s	0	0s	0.0	2.763500ms	14	2.763500ms	4.907920379231109E-4	2.763500ms	14	2.763500ms	4.907920379231109E-4	
28	85	3	1156	33	0	2047064.0	null	null	null	null	0	2047064.0	0	2047064.0	1.7976931348623157E308	0.0	266.8us	30	266.8us	0.001147521188199511	266.8us	30	266.8us	0.001147521188199511	0s	0	0s	0.0	2.676800ms	3	2.676800ms	0.002507199596775774	2.676800ms	3	2.676800ms	0.002507199596775774	
29	88	3	1188	32	0	2037574.0	null	null	null	null	0	2037574.0	0	2037574.0	1.7976931348623157E308	0.0	286us	30	286us	0.0	286us	30	286us	0.0	0s	0	0s	0.0	2.978100ms	2	2.978100ms	0.0023179539086223278	2.978100ms	2	2.978100ms	0.0023179539086223278	
30	92	3	1226	38	0	2035928.0	null	null	null	null	0	2035928.0	0	2035928.0	1.7976931348623157E308	0.0	285.5us	30	285.5us	0.0	285.5us	30	285.5us	0.0	0s	0	0s	0.0	2.844600ms	8	2.844600ms	1.0097792767281566E-4	2.844600ms	8	2.844600ms	1.0097792767281566E-4	
31	95	3	1287	61	0	2035460.0	null	null	null	null	0	2035460.0	0	2035460.0	1.7976931348623157E308	0.0	278.7us	30	278.7us	0.0	278.7us	30	278.7us	0.0	0s	0	0s	0.0	3.057200ms	31	3.057200ms	7.4151807890789115E-6	3.057200ms	31	3.057200ms	7.4151807890789115E-6	
32	99	3	1394	107	0	2033886.0	null	null	null	null	0	2033886.0	0	2033886.0	1.7976931348623157E308	0.0	308.1us	30	308.1us	0.0	308.1us	30	308.1us	0.0	0s	0	0s	0.0	3.340200ms	77	3.340200ms	1.0042721763904926E-5	3.340200ms	77	3.340200ms	1.0042721763904926E-5	
33	103	3	1469	75	0	1988806.0	null	null	null	null	0	1988806.0	0	1988806.0	1.7976931348623157E308	0.0	277.2us	30	277.2us	2.580918763174641E-4	277.2us	30	277.2us	2.580918763174641E-4	0s	0	0s	0.0	3.026700ms	45	3.026700ms	3.2298325034496096E-4	3.026700ms	45	3.026700ms	3.2298325034496096E-4	
34	108	5	1533	64	0	1984707.0	null	null	null	null	0	1984707.0	0	1984707.0	1.7976931348623157E308	0.0	287.5us	30	287.5us	0.0	287.5us	30	287.5us	0.0	0s	0	0s	0.0	4.809400ms	34	4.809400ms	6.06186945983715E-5	4.809400ms	34	4.809400ms	6.06186945983715E-5	
35	112	3	1582	49	0	1977773.0	null	null	null	null	0	1977773.0	0	1977773.0	1.7976931348623157E308	0.0	281.8us	30	281.8us	4.399813437138134E-5	281.8us	30	281.8us	4.399813437138134E-5	0s	0	0s	0.0	3.008700ms	19	3.008700ms	1.1456019505782701E-4	3.008700ms	19	3.008700ms	1.1456019505782701E-4	
