"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	3	3	134	134	3	2441473.0	1	2487030.0	2	2700109.0	0	2824175.0	2	2700109.0	1.7976931348623157E308	0.0	2.486700ms	120	2.486700ms	0.006277863567919485	617.9us	30	617.9us	0.007410820387086096	49.5us	2	49.5us	0.07517086302951836	1.554500ms	10	1.554500ms	5.831589876864829E-4	1.554500ms	10	1.554500ms	5.831589876864829E-4	
3	5	2	262	128	3	2030552.0	1	2064207.0	2	2127439.0	0	2362491.0	2	2127439.0	1.7976931348623157E308	0.0	1.058900ms	120	1.058900ms	0.00524353363518409	269.1us	30	269.1us	0.005420054871110077	44.5us	2	44.5us	0.046607922925074596	1.568ms	6	1.568ms	0.0011358580113999446	1.568ms	6	1.568ms	0.0011358580113999446	
4	7	2	389	127	0	1729795.0	3	1889303.0	2	1977305.0	1	2010820.0	2	1977305.0	1.7976931348623157E308	0.0	1.052400ms	120	1.052400ms	0.001479908205773862	275.5us	30	275.5us	0.0022378415388236298	44.1us	2	44.1us	0.12869869133892997	1.662300ms	6	1.662300ms	4.3354385080181707E-4	1.662300ms	6	1.662300ms	4.3354385080181707E-4	
5	10	2	602	213	0	1671687.0	1	1788191.0	3	1809127.0	2	1829967.0	3	1809127.0	1.7976931348623157E308	0.0	1.017900ms	120	1.017900ms	0.0013150848642302566	245.1us	30	245.1us	0.0011129113209685495	43.5us	2	43.5us	0.052010622532101314	1.969500ms	94	1.969500ms	2.2570624375429146E-6	1.969500ms	94	1.969500ms	2.2570624375429146E-6	
6	12	2	756	154	2	1570148.0	0	1659345.0	1	1746275.0	3	1798460.0	1	1746275.0	1.7976931348623157E308	0.0	1.053100ms	120	1.053100ms	6.556248849619528E-4	280us	30	280us	0.0	43.2us	2	43.2us	0.04872492236198794	1.932300ms	33	1.932300ms	2.2372609226487908E-4	1.932300ms	33	1.932300ms	2.2372609226487908E-4	
7	15	3	913	157	3	1411151.0	2	1535024.0	0	1641854.0	1	1668543.0	0	1641854.0	1.7976931348623157E308	0.0	1.348700ms	120	1.348700ms	0.0010900209234810739	426.5us	30	426.5us	7.22795429327483E-4	83.1us	2	83.1us	0.08525488473471748	2.110900ms	35	2.110900ms	2.003450812098073E-5	2.110900ms	35	2.110900ms	2.003450812098073E-5	
8	18	2	1051	138	3	1341899.0	2	1500717.0	0	1547322.0	1	1589121.0	0	1547322.0	1.7976931348623157E308	0.0	1.040800ms	120	1.040800ms	0.0010036142038932299	263.9us	30	263.9us	0.001291809933142311	46us	2	46us	0.02332793258579763	2.205700ms	18	2.205700ms	5.96479201887126E-4	2.205700ms	18	2.205700ms	5.96479201887126E-4	
9	21	2	1178	127	3	1316128.0	2	1465417.0	0	1467132.0	1	1589121.0	0	1467132.0	1.7976931348623157E308	0.0	1.036800ms	120	1.036800ms	7.128439414322008E-4	259.2us	30	259.2us	3.3980530196545675E-4	48.3us	2	48.3us	0.0	1.920900ms	10	1.920900ms	9.103516732630434E-4	1.920900ms	10	1.920900ms	9.103516732630434E-4	
10	24	2	1366	188	3	1316107.0	0	1337869.0	2	1461440.0	1	1557398.0	2	1461440.0	1.7976931348623157E308	0.0	1.129400ms	120	1.129400ms	3.3985946608546723E-4	276.7us	30	276.7us	0.0	39.8us	2	39.8us	0.03564505443272997	2.051400ms	67	2.051400ms	2.381476845874451E-7	2.051400ms	67	2.051400ms	2.381476845874451E-7	
11	26	2	1495	129	0	1242986.0	3	1287635.0	2	1394760.0	1	1557398.0	2	1394760.0	1.7976931348623157E308	0.0	1.053400ms	120	1.053400ms	0.0011230346630020102	245.5us	30	245.5us	6.072311130460917E-4	43.1us	2	43.1us	0.0	2.005100ms	7	2.005100ms	4.971371737143888E-4	2.005100ms	7	2.005100ms	4.971371737143888E-4	
