"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	32	32	0	2142137.0	null	null	null	null	0	2142137.0	0	2142137.0	1.7976931348623157E308	0.0	267.9us	30	267.9us	0.004110557614569965	267.9us	30	267.9us	0.004110557614569965	0s	0	0s	0.0	1.415100ms	1	1.415100ms	0.006543473399605593	1.415100ms	1	1.415100ms	0.006543473399605593	
3	4	2	87	55	0	1798483.0	null	null	null	null	0	1798483.0	0	1798483.0	1.7976931348623157E308	0.0	257.3us	30	257.3us	0.005052804186029617	257.3us	30	257.3us	0.005052804186029617	0s	0	0s	0.0	1.571400ms	25	1.571400ms	4.168547576555559E-4	1.571400ms	25	1.571400ms	4.168547576555559E-4	
4	6	2	149	62	0	1621685.0	null	null	null	null	0	1621685.0	0	1621685.0	1.7976931348623157E308	0.0	251.7us	30	251.7us	0.003053396772973249	251.7us	30	251.7us	0.003053396772973249	0s	0	0s	0.0	1.638600ms	32	1.638600ms	2.305588932450288E-4	1.638600ms	32	1.638600ms	2.305588932450288E-4	
5	9	2	192	43	0	1532841.0	null	null	null	null	0	1532841.0	0	1532841.0	1.7976931348623157E308	0.0	261.2us	30	261.2us	0.0011783010522478025	261.2us	30	261.2us	0.0011783010522478025	0s	0	0s	0.0	1.746500ms	13	1.746500ms	0.0015498599391278946	1.746500ms	13	1.746500ms	0.0015498599391278946	
6	11	2	226	34	0	1427944.0	null	null	null	null	0	1427944.0	0	1427944.0	1.7976931348623157E308	0.0	254.3us	30	254.3us	0.0020919630611004954	254.3us	30	254.3us	0.0020919630611004954	0s	0	0s	0.0	1.850400ms	4	1.850400ms	0.0015135294528264842	1.850400ms	4	1.850400ms	0.0015135294528264842	
7	14	2	263	37	0	1288196.0	null	null	null	null	0	1288196.0	0	1288196.0	1.7976931348623157E308	0.0	258.2us	30	258.2us	0.0030842342107524827	258.2us	30	258.2us	0.0030842342107524827	0s	0	0s	0.0	1.953500ms	7	1.953500ms	8.40569177982967E-4	1.953500ms	7	1.953500ms	8.40569177982967E-4	
8	16	2	295	32	0	1231007.0	null	null	null	null	0	1231007.0	0	1231007.0	1.7976931348623157E308	0.0	251.2us	30	251.2us	8.969876529156854E-4	251.2us	30	251.2us	8.969876529156854E-4	0s	0	0s	0.0	1.958400ms	2	1.958400ms	0.008984269474520967	1.958400ms	2	1.958400ms	0.008984269474520967	
9	19	2	358	63	0	1226708.0	null	null	null	null	0	1226708.0	0	1226708.0	1.7976931348623157E308	0.0	275us	30	275us	5.6451243188756126E-5	275us	30	275us	5.6451243188756126E-5	0s	0	0s	0.0	2.152600ms	33	2.152600ms	5.45993005824683E-5	2.152600ms	33	2.152600ms	5.45993005824683E-5	
10	21	2	415	57	0	1222223.0	null	null	null	null	0	1222223.0	0	1222223.0	1.7976931348623157E308	0.0	249.2us	30	249.2us	0.0	249.2us	30	249.2us	0.0	0s	0	0s	0.0	1.932400ms	27	1.932400ms	1.3541210386751272E-4	1.932400ms	27	1.932400ms	1.3541210386751272E-4	
11	24	2	471	56	0	1221943.0	null	null	null	null	0	1221943.0	0	1221943.0	1.7976931348623157E308	0.0	243.4us	30	243.4us	0.0	243.4us	30	243.4us	0.0	0s	0	0s	0.0	2.026ms	26	2.026ms	8.811183204073301E-6	2.026ms	26	2.026ms	8.811183204073301E-6	
