"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	0	0	31	31	0	3128044.0	null	null	null	null	0	3128044.0	0	3128044.0	1.7976931348623157E308	0.0	281.1us	30	281.1us	0.004979484085039684	281.1us	30	281.1us	0.004979484085039684	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	1	0	61	30	0	2947524.0	null	null	null	null	0	2947524.0	0	2947524.0	1.7976931348623157E308	0.0	278.4us	30	278.4us	0.001923672855411666	278.4us	30	278.4us	0.001923672855411666	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
4	2	0	91	30	0	2799235.0	null	null	null	null	0	2799235.0	0	2799235.0	1.7976931348623157E308	0.0	287.5us	30	287.5us	0.0016769894551042386	287.5us	30	287.5us	0.0016769894551042386	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
5	2	0	121	30	0	2746143.0	null	null	null	null	0	2746143.0	0	2746143.0	1.7976931348623157E308	0.0	286.2us	30	286.2us	6.322203506791431E-4	286.2us	30	286.2us	6.322203506791431E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	3	0	151	30	0	2518803.0	null	null	null	null	0	2518803.0	0	2518803.0	1.7976931348623157E308	0.0	279.8us	30	279.8us	0.002759506697211326	279.8us	30	279.8us	0.002759506697211326	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
7	3	0	181	30	0	2445745.0	null	null	null	null	0	2445745.0	0	2445745.0	1.7976931348623157E308	0.0	284.2us	30	284.2us	9.668349079569408E-4	284.2us	30	284.2us	9.668349079569408E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
8	4	0	211	30	0	2406059.0	null	null	null	null	0	2406059.0	0	2406059.0	1.7976931348623157E308	0.0	284.9us	30	284.9us	5.408849518926395E-4	284.9us	30	284.9us	5.408849518926395E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
9	5	0	241	30	0	2364124.0	null	null	null	null	0	2364124.0	0	2364124.0	1.7976931348623157E308	0.0	287.4us	30	287.4us	5.809638638675674E-4	287.4us	30	287.4us	5.809638638675674E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	5	0	271	30	0	2341800.0	null	null	null	null	0	2341800.0	0	2341800.0	1.7976931348623157E308	0.0	285.8us	30	285.8us	3.1476070347128033E-4	285.8us	30	285.8us	3.1476070347128033E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	6	0	301	30	0	2251042.0	null	null	null	null	0	2251042.0	0	2251042.0	1.7976931348623157E308	0.0	276.7us	30	276.7us	0.001291855268027442	276.7us	30	276.7us	0.001291855268027442	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
12	6	0	331	30	0	2242782.0	null	null	null	null	0	2242782.0	0	2242782.0	1.7976931348623157E308	0.0	280us	30	280us	1.2231372552503987E-4	280us	30	280us	1.2231372552503987E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
13	7	0	361	30	0	2173686.0	null	null	null	null	0	2173686.0	0	2173686.0	1.7976931348623157E308	0.0	278.3us	30	278.3us	0.0010269388643211882	278.3us	30	278.3us	0.0010269388643211882	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
14	8	0	391	30	0	2144887.0	null	null	null	null	0	2144887.0	0	2144887.0	1.7976931348623157E308	0.0	284.4us	30	284.4us	4.4163079058643734E-4	284.4us	30	284.4us	4.4163079058643734E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
15	8	0	421	30	0	2069305.0	null	null	null	null	0	2069305.0	0	2069305.0	1.7976931348623157E308	0.0	280.3us	30	280.3us	0.0011746073336264319	280.3us	30	280.3us	0.0011746073336264319	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
16	9	0	451	30	0	2040490.0	null	null	null	null	0	2040490.0	0	2040490.0	1.7976931348623157E308	0.0	284us	30	284us	4.641655048434131E-4	284us	30	284us	4.641655048434131E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
17	9	0	481	30	0	2014247.0	null	null	null	null	0	2014247.0	0	2014247.0	1.7976931348623157E308	0.0	284.1us	30	284.1us	4.2870421647088025E-4	284.1us	30	284.1us	4.2870421647088025E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
18	10	0	511	30	0	1999007.0	null	null	null	null	0	1999007.0	0	1999007.0	1.7976931348623157E308	0.0	273.8us	30	273.8us	2.5220342887441276E-4	273.8us	30	273.8us	2.5220342887441276E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
19	11	0	541	30	0	1966479.0	null	null	null	null	0	1966479.0	0	1966479.0	1.7976931348623157E308	0.0	295.4us	30	295.4us	5.424026362422266E-4	295.4us	30	295.4us	5.424026362422266E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
20	11	0	571	30	0	1909471.0	null	null	null	null	0	1909471.0	0	1909471.0	1.7976931348623157E308	0.0	275.8us	30	275.8us	9.663294988996392E-4	275.8us	30	275.8us	9.663294988996392E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
21	12	0	601	30	0	1885357.0	null	null	null	null	0	1885357.0	0	1885357.0	1.7976931348623157E308	0.0	287.8us	30	287.8us	4.2095428524444587E-4	287.8us	30	287.8us	4.2095428524444587E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
22	12	0	631	30	0	1882611.0	null	null	null	null	0	1882611.0	0	1882611.0	1.7976931348623157E308	0.0	277.4us	30	277.4us	4.854960271892065E-5	277.4us	30	277.4us	4.854960271892065E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
23	13	0	661	30	0	1867428.0	null	null	null	null	0	1867428.0	0	1867428.0	1.7976931348623157E308	0.0	277.9us	30	277.9us	2.688287702557764E-4	277.9us	30	277.9us	2.688287702557764E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
24	14	0	691	30	0	1792141.0	null	null	null	null	0	1792141.0	0	1792141.0	1.7976931348623157E308	0.0	274us	30	274us	0.0013438626103210746	274us	30	274us	0.0013438626103210746	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
25	14	0	721	30	0	1777310.0	null	null	null	null	0	1777310.0	0	1777310.0	1.7976931348623157E308	0.0	277.6us	30	277.6us	2.75852551036256E-4	277.6us	30	277.6us	2.75852551036256E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
26	15	0	751	30	0	1777310.0	null	null	null	null	0	1777310.0	0	1777310.0	1.7976931348623157E308	0.0	281us	30	281us	0.0	281us	30	281us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
27	15	0	781	30	0	1750121.0	null	null	null	null	0	1750121.0	0	1750121.0	1.7976931348623157E308	0.0	279us	30	279us	5.099279247852103E-4	279us	30	279us	5.099279247852103E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
28	16	0	811	30	0	1747512.0	null	null	null	null	0	1747512.0	0	1747512.0	1.7976931348623157E308	0.0	284.6us	30	284.6us	4.969180226205294E-5	284.6us	30	284.6us	4.969180226205294E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
29	17	0	841	30	0	1730995.0	null	null	null	null	0	1730995.0	0	1730995.0	1.7976931348623157E308	0.0	276.9us	30	276.9us	3.1505744548058584E-4	276.9us	30	276.9us	3.1505744548058584E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
30	17	0	871	30	0	1730995.0	null	null	null	null	0	1730995.0	0	1730995.0	1.7976931348623157E308	0.0	287.2us	30	287.2us	0.0	287.2us	30	287.2us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
