"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	0	0	31	31	0	3204650.0	null	null	null	null	0	3204650.0	0	3204650.0	1.7976931348623157E308	0.0	284.6us	30	284.6us	0.004461527969113795	284.6us	30	284.6us	0.004461527969113795	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	1	0	61	30	0	2798367.0	null	null	null	null	0	2798367.0	0	2798367.0	1.7976931348623157E308	0.0	287us	30	287us	0.004225973715278319	287us	30	287us	0.004225973715278319	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
4	2	0	91	30	0	2595164.0	null	null	null	null	0	2595164.0	0	2595164.0	1.7976931348623157E308	0.0	279.4us	30	279.4us	0.0024204950005961828	279.4us	30	279.4us	0.0024204950005961828	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
5	3	0	121	30	0	2397738.0	null	null	null	null	0	2397738.0	0	2397738.0	1.7976931348623157E308	0.0	290.7us	30	290.7us	0.0025358191877918584	290.7us	30	290.7us	0.0025358191877918584	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	3	0	151	30	0	2307480.0	null	null	null	null	0	2307480.0	0	2307480.0	1.7976931348623157E308	0.0	280.1us	30	280.1us	0.0012547659502414358	280.1us	30	280.1us	0.0012547659502414358	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
7	4	0	181	30	0	2229687.0	null	null	null	null	0	2229687.0	0	2229687.0	1.7976931348623157E308	0.0	282.6us	30	282.6us	0.0011237800544316742	282.6us	30	282.6us	0.0011237800544316742	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
8	4	0	211	30	0	2185685.0	null	null	null	null	0	2185685.0	0	2185685.0	1.7976931348623157E308	0.0	284us	30	284us	6.578202829963724E-4	284us	30	284us	6.578202829963724E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
9	5	0	241	30	0	2082035.0	null	null	null	null	0	2082035.0	0	2082035.0	1.7976931348623157E308	0.0	293.5us	30	293.5us	0.0015807401340998375	293.5us	30	293.5us	0.0015807401340998375	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	6	0	271	30	0	2079558.0	null	null	null	null	0	2079558.0	0	2079558.0	1.7976931348623157E308	0.0	285.1us	30	285.1us	3.9656714064203086E-5	285.1us	30	285.1us	3.9656714064203086E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	6	0	301	30	0	1979565.0	null	null	null	null	0	1979565.0	0	1979565.0	1.7976931348623157E308	0.0	285.6us	30	285.6us	0.0016027925164866766	285.6us	30	285.6us	0.0016027925164866766	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
