"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	2	2	126	126	1	2242139.0	2	2301093.0	3	2333989.0	0	2507140.0	3	2333989.0	1.7976931348623157E308	0.0	1.036800ms	120	1.036800ms	0.0059793554384570576	243.6us	30	243.6us	0.006708259531114254	73.5us	2	73.5us	0.06872397803457875	1.326500ms	1	1.326500ms	0.006222412296415625	1.326500ms	1	1.326500ms	0.006222412296415625	
3	4	2	248	122	1	1945885.0	0	1959838.0	3	2003391.0	2	2095706.0	3	2003391.0	1.7976931348623157E308	0.0	1.068600ms	120	1.068600ms	0.0040337301645913546	264.8us	30	264.8us	0.004054632529836773	42.8us	2	42.8us	0.05127488047863066	1.528600ms	1	1.528600ms	0.011943951735374103	1.528600ms	1	1.528600ms	0.011943951735374103	
4	8	3	375	127	2	1819793.0	1	1880645.0	0	1922198.0	3	1940978.0	0	1922198.0	1.7976931348623157E308	0.0	6.613900ms	120	6.613900ms	0.0012696901810454945	1.716900ms	30	1.716900ms	7.928165491370654E-4	50.9us	2	50.9us	0.028985936004382318	1.794700ms	6	1.794700ms	0.0016633391318945738	1.794700ms	6	1.794700ms	0.0016633391318945738	
5	11	2	498	123	0	1497904.0	1	1638471.0	2	1662275.0	3	1936864.0	2	1662275.0	1.7976931348623157E308	0.0	1.032800ms	120	1.032800ms	0.0022777156657513065	254.3us	30	254.3us	0.001571346791156114	36.8us	2	36.8us	0.070576360527561	1.797ms	1	1.797ms	0.04136789184264367	1.797ms	1	1.797ms	0.04136789184264367	
6	13	2	627	129	0	1474350.0	3	1540721.0	2	1611949.0	1	1636897.0	2	1611949.0	1.7976931348623157E308	0.0	1.023500ms	120	1.023500ms	8.282590982338291E-4	257.4us	30	257.4us	3.7517333016795495E-4	38.6us	2	38.6us	0.07826749838914865	1.920800ms	8	1.920800ms	5.650395485959081E-4	1.920800ms	8	1.920800ms	5.650395485959081E-4	
7	16	2	768	141	0	1413680.0	3	1505874.0	1	1522258.0	2	1545975.0	1	1522258.0	1.7976931348623157E308	0.0	1.019700ms	120	1.019700ms	0.0010769906761986406	263.3us	30	263.3us	7.829067433317535E-4	36.3us	2	36.3us	0.01452718161252664	2.001600ms	19	2.001600ms	9.519984721188447E-4	2.001600ms	19	2.001600ms	9.519984721188447E-4	
8	19	2	903	135	0	1412577.0	1	1470462.0	3	1498049.0	2	1538411.0	3	1498049.0	1.7976931348623157E308	0.0	1.174ms	120	1.174ms	3.6762327291546364E-4	277.6us	30	277.6us	0.0	42.4us	2	42.4us	0.0	2.037400ms	13	2.037400ms	6.001793464302732E-5	2.037400ms	13	2.037400ms	6.001793464302732E-5	
9	21	2	1060	157	2	1312444.0	0	1316926.0	1	1444832.0	3	1475451.0	1	1444832.0	1.7976931348623157E308	0.0	1.019800ms	120	1.019800ms	8.346358841938721E-4	261.8us	30	261.8us	0.0017805219324727116	36.2us	2	36.2us	0.06728598534461855	1.981400ms	36	1.981400ms	4.1958381344482193E-4	1.981400ms	36	1.981400ms	4.1958381344482193E-4	
10	24	2	1183	123	0	1251969.0	2	1307885.0	3	1318035.0	1	1435782.0	3	1318035.0	1.7976931348623157E308	0.0	1.102400ms	120	1.102400ms	5.110501746475742E-4	283.1us	30	283.1us	0.0	37us	2	37us	0.05099384295114079	2.110900ms	1	2.110900ms	0.003473672019529972	2.110900ms	1	2.110900ms	0.003473672019529972	
11	27	2	1337	154	0	1251294.0	2	1295476.0	3	1313867.0	1	1435782.0	3	1313867.0	1.7976931348623157E308	0.0	1.094900ms	120	1.094900ms	1.0541767067338189E-4	259.7us	30	259.7us	0.0	37.3us	2	37.3us	0.0	1.992400ms	32	1.992400ms	1.684846030532844E-5	1.992400ms	32	1.992400ms	1.684846030532844E-5	
