"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	44	44	5956	5956	0	1.55710441E8	1	1.63308649E8	7	1.63552118E8	9	1.79279809E8	6	1.73538705E8	1.7976931348623157E308	0.0	193.521100ms	550	193.521100ms	5.432917975585262E-4	20.598100ms	55	20.598100ms	0.001054661495185611	43.351500ms	20	43.351500ms	0.004807772048723824	0s	0	0s	0.0	0s	0	0s	0.0	
3	52	7	6518	562	4	1.51320229E8	0	1.53946565E8	1	1.55649883E8	2	1.74163248E8	6	1.62534634E8	1.7976931348623157E308	0.0	21.090800ms	550	21.090800ms	4.814693530298157E-4	1.686600ms	55	1.686600ms	2.059622496815925E-4	7.518500ms	20	7.518500ms	0.012408451763119843	0s	0	0s	0.0	0s	0	0s	0.0	
4	57	5	7081	563	7	1.34267626E8	0	1.45325651E8	5	1.47016933E8	6	1.57826794E8	2	1.5014401E8	1.7976931348623157E308	0.0	11.544600ms	550	11.544600ms	8.504213412712533E-4	1.357900ms	55	1.357900ms	4.302666931957567E-4	6.785300ms	20	6.785300ms	0.016016816915404592	0s	0	0s	0.0	0s	0	0s	0.0	
5	64	6	7644	563	7	1.29546633E8	9	1.34094335E8	3	1.40603517E8	8	1.5241696E8	0	1.42960857E8	1.7976931348623157E308	0.0	22.239600ms	550	22.239600ms	5.361377812484621E-4	3.183300ms	55	3.183300ms	6.392921281235455E-4	6.103300ms	20	6.103300ms	0.009732956313784064	0s	0	0s	0.0	0s	0	0s	0.0	
6	68	4	8204	560	8	1.23136168E8	7	1.26012923E8	1	1.29915811E8	6	1.47683267E8	0	1.39039542E8	1.7976931348623157E308	0.0	11.967400ms	550	11.967400ms	2.579963140297278E-4	1.517800ms	55	1.517800ms	4.959547866232296E-4	5.958200ms	20	5.958200ms	0.012466954285495453	0s	0	0s	0.0	0s	0	0s	0.0	
7	75	7	8761	557	0	1.1857051E8	7	1.22923531E8	8	1.23136168E8	5	1.38622596E8	6	1.29063604E8	1.7976931348623157E308	0.0	18.287200ms	550	18.287200ms	2.960533488514705E-4	2.624200ms	55	2.624200ms	0.0	3.314600ms	20	3.314600ms	0.019355144015152835	0s	0	0s	0.0	0s	0	0s	0.0	
8	80	4	9320	559	0	1.15110247E8	5	1.18772605E8	9	1.21816416E8	3	1.30967103E8	2	1.26589286E8	1.7976931348623157E308	0.0	12.478400ms	550	12.478400ms	2.507331736809239E-4	1.155ms	55	1.155ms	5.3060303719089E-4	3.987100ms	20	3.987100ms	0.010604231430225758	0s	0	0s	0.0	0s	0	0s	0.0	
9	83	3	9884	564	0	1.13229885E8	5	1.17770823E8	2	1.18507558E8	1	1.24827136E8	9	1.20955903E8	1.7976931348623157E308	0.0	10.425300ms	550	10.425300ms	2.603698893960888E-4	1.045600ms	55	1.045600ms	2.9700570445305316E-4	2.079800ms	20	2.079800ms	0.009489490773787228	0s	0	0s	0.0	0s	0	0s	0.0	
10	86	3	10440	556	0	1.13229885E8	5	1.16029153E8	6	1.16815219E8	1	1.24827136E8	2	1.18507558E8	1.7976931348623157E308	0.0	7.807100ms	550	7.807100ms	8.245488682235463E-5	626.8us	55	626.8us	0.0	1.486100ms	20	1.486100ms	0.0043619068154524265	0s	0	0s	0.0	0s	0	0s	0.0	
11	94	7	11017	577	0	1.08811486E8	9	1.10551777E8	7	1.12578568E8	1	1.24116876E8	2	1.1734372E8	1.7976931348623157E308	0.0	9.604500ms	550	9.604500ms	3.1320294557352264E-4	1.062100ms	55	1.062100ms	5.402343097845576E-4	1.704400ms	20	1.704400ms	0.001205873159620663	3.037400ms	9	3.037400ms	0.0010659622040398472	3.037400ms	9	3.037400ms	0.0010659622040398472	
