"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	5569	5569	503521	503521	83	4.0484364E7	4	4.2895582E7	48	4.4342246E7	19	1.18669512E8	72	7.6147633E7	1.7976931348623157E308	0.0	1m 4.416660900s	505000	1m 4.416660900s	6.70457679608638E-5	959.125700ms	5050	959.125700ms	7.339182451134047E-5	106.203700ms	20	106.203700ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	10902	5332	1007069	503548	48	1.8437896E7	98	2.3623292E7	4	2.5892231E7	2	9.7793558E7	3	6.1131164E7	1.7976931348623157E308	0.0	1m 2.312055200s	505000	1m 2.312055200s	4.500055501175038E-5	722.332200ms	5050	722.332200ms	2.7775187281667758E-5	41.501300ms	20	41.501300ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
4	16042	5140	1510543	503474	48	1.3023924E7	69	2.1582528E7	44	2.164911E7	2	8.496382E7	76	4.6054426E7	1.7976931348623157E308	0.0	59.791577s	505000	59.791577s	4.2156607307292475E-5	708.580300ms	5050	708.580300ms	5.814511934367873E-5	9.610600ms	20	9.610600ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
5	21198	5155	2014020	503477	69	8253704.0	80	1.2464392E7	48	1.3023924E7	59	7.7555086E7	29	3.9827086E7	1.7976931348623157E308	0.0	59.850007s	505000	59.850007s	3.088682431974715E-5	647.739900ms	5050	647.739900ms	0.0	18.055700ms	20	18.055700ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	26360	5162	2517504	503484	48	5753296.0	69	8253704.0	44	1.1218249E7	59	6.8638409E7	92	3.3106019E7	1.7976931348623157E308	0.0	59.813518900s	505000	59.813518900s	2.9038793522693808E-5	607.442900ms	5050	607.442900ms	0.0	10.604200ms	20	10.604200ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
7	31570	5209	3020944	503440	48	5638542.0	44	5921614.0	4	6257522.0	59	6.5819748E7	43	2.8755205E7	1.7976931348623157E308	0.0	1m 0.705008300s	505000	1m 0.705008300s	2.1803288645107373E-5	604.588700ms	5050	604.588700ms	3.949660221972879E-6	3.702600ms	20	3.702600ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
8	36767	5197	3524390	503446	80	4269052.0	48	5638542.0	44	5921614.0	59	6.3070558E7	45	2.658097E7	1.7976931348623157E308	0.0	1m 0.301801100s	505000	1m 0.301801100s	2.1120106563317775E-5	648.254300ms	5050	648.254300ms	0.0	4.160600ms	20	4.160600ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
9	41975	5207	4027856	503466	48	3159478.0	4	3770173.0	80	4269052.0	15	5.7220557E7	94	2.3895974E7	1.7976931348623157E308	0.0	1m 0.560162s	505000	1m 0.560162s	1.590504472933261E-5	604.324400ms	5050	604.324400ms	0.0	17.149200ms	20	17.149200ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	47123	5147	4531370	503514	48	3159478.0	4	3770173.0	80	4269052.0	15	5.7220557E7	67	2.367093E7	1.7976931348623157E308	0.0	1m 0.021920300s	505000	1m 0.021920300s	1.1519188757062685E-5	648.452700ms	5050	648.452700ms	0.0	4.961900ms	20	4.961900ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	52307	5183	5036048	504678	48	177653.0	4	3770173.0	22	3941232.0	15	5.7220557E7	7	2.3059612E7	1.7976931348623157E308	0.0	1m 0.012827700s	505000	1m 0.012827700s	8.325792603126648E-6	613.118ms	5050	613.118ms	0.0	4.112800ms	20	4.112800ms	0.0	7.896600ms	1250	7.896600ms	7.550171262468041E-4	7.896600ms	1250	7.896600ms	7.550171262468041E-4	
