"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	51	51	85	85	3	1.75841668E8	5	1.80275962E8	0	1.84452324E8	9	2.22830756E8	8	2.12971225E8	1.7976931348623157E308	0.0	18.268600ms	55	18.268600ms	0.0022673611608650013	18.268600ms	55	18.268600ms	0.0022673611608650013	42.154800ms	20	42.154800ms	0.03361253944203733	0s	0	0s	0.0	0s	0	0s	0.0	
3	67	16	159	74	3	1.57659822E8	5	1.70079245E8	1	1.73614646E8	9	2.1073198E8	0	1.84452324E8	1.7976931348623157E308	0.0	12.766900ms	55	12.766900ms	0.0018799811326961381	12.766900ms	55	12.766900ms	0.0018799811326961381	8.164800ms	20	8.164800ms	0.04103985302216091	0s	0	0s	0.0	0s	0	0s	0.0	
4	79	11	233	74	3	1.4561878E8	0	1.63882754E8	5	1.65705093E8	4	1.89785583E8	8	1.77143477E8	1.7976931348623157E308	0.0	8.273400ms	55	8.273400ms	0.001388610196221308	8.273400ms	55	8.273400ms	0.001388610196221308	5.302ms	20	5.302ms	0.024133802839263408	0s	0	0s	0.0	0s	0	0s	0.0	
5	85	6	307	74	3	1.39506706E8	1	1.59173701E8	0	1.63882754E8	4	1.89785583E8	8	1.67056722E8	1.7976931348623157E308	0.0	3.978ms	55	3.978ms	7.63147570538761E-4	3.978ms	55	3.978ms	7.63147570538761E-4	3.761200ms	20	3.761200ms	0.011825001694343912	0s	0	0s	0.0	0s	0	0s	0.0	
6	93	7	382	75	3	1.35470255E8	2	1.53108645E8	1	1.59173701E8	7	1.73150404E8	6	1.66297941E8	1.7976931348623157E308	0.0	5.284500ms	55	5.284500ms	5.260680313232982E-4	5.284500ms	55	5.284500ms	5.260680313232982E-4	3.977200ms	20	3.977200ms	0.013963255580587359	0s	0	0s	0.0	0s	0	0s	0.0	
7	105	11	457	75	3	1.33972447E8	2	1.53108645E8	7	1.5573202E8	8	1.67056722E8	9	1.60643752E8	1.7976931348623157E308	0.0	8.655900ms	55	8.655900ms	2.0102473954354574E-4	8.655900ms	55	8.655900ms	2.0102473954354574E-4	3.717900ms	20	3.717900ms	0.009937545419857951	0s	0	0s	0.0	0s	0	0s	0.0	
8	111	6	531	74	3	1.32715853E8	9	1.42877295E8	2	1.49536686E8	8	1.67056722E8	1	1.59173701E8	1.7976931348623157E308	0.0	4.370400ms	55	4.370400ms	1.7053628673635983E-4	4.370400ms	55	4.370400ms	1.7053628673635983E-4	1.717200ms	20	1.717200ms	0.011470049430473184	0s	0	0s	0.0	0s	0	0s	0.0	
9	121	10	605	74	3	1.32715853E8	2	1.34709044E8	6	1.36791103E8	4	1.59929582E8	8	1.43571796E8	1.7976931348623157E308	0.0	6.951600ms	55	6.951600ms	0.0	6.951600ms	55	6.951600ms	0.0	2.718300ms	20	2.718300ms	0.02671649790416364	0s	0	0s	0.0	0s	0	0s	0.0	
10	128	7	680	75	3	1.28608634E8	2	1.34709044E8	6	1.36791103E8	5	1.52153366E8	9	1.42877295E8	1.7976931348623157E308	0.0	4.710800ms	55	4.710800ms	1.1762972185349607E-4	4.710800ms	55	4.710800ms	1.1762972185349607E-4	1.732700ms	20	1.732700ms	0.014496016019515428	523.6us	1	523.6us	0.024637222502725376	523.6us	1	523.6us	0.024637222502725376	
11	134	5	755	75	3	1.28608634E8	2	1.34709044E8	7	1.36034017E8	8	1.42618038E8	0	1.40005697E8	1.7976931348623157E308	0.0	4.098900ms	55	4.098900ms	0.0	4.098900ms	55	4.098900ms	0.0	788.4us	20	788.4us	0.01169230022349807	0s	0	0s	0.0	0s	0	0s	0.0	
12	142	7	835	80	3	1.25809523E8	7	1.28766138E8	9	1.32886405E8	1	1.42063845E8	0	1.36029901E8	1.7976931348623157E308	0.0	5.177700ms	55	5.177700ms	0.0	5.177700ms	55	5.177700ms	0.0	1.186ms	20	1.186ms	0.009098616862178438	122.6us	7	122.6us	0.0031092236000267288	122.6us	7	122.6us	0.0031092236000267288	
13	148	6	922	87	3	1.24160673E8	7	1.28766138E8	9	1.32886405E8	1	1.42063845E8	0	1.36029901E8	1.7976931348623157E308	0.0	4.338800ms	55	4.338800ms	0.0	4.338800ms	55	4.338800ms	0.0	640us	20	640us	4.3165504193877214E-4	272.3us	12	272.3us	0.001092160302258412	272.3us	12	272.3us	0.001092160302258412	
14	155	6	1002	80	6	1.23481435E8	3	1.23622987E8	7	1.28766138E8	1	1.42063845E8	5	1.3289899E8	1.7976931348623157E308	0.0	4.781300ms	55	4.781300ms	0.0	4.781300ms	55	4.781300ms	0.0	802.6us	20	802.6us	0.008313743579636313	100.6us	5	100.6us	8.661132176691622E-4	100.6us	5	100.6us	8.661132176691622E-4	
