"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	14	14	1	1	0	4648650.0	null	null	null	null	0	4648650.0	0	4648650.0	1.7976931348623157E308	0.0	28.2us	0	28.2us	NaN	28.2us	0	28.2us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	17	2	9	8	0	4640095.0	null	null	null	null	0	4640095.0	0	4640095.0	1.7976931348623157E308	0.0	1.3us	0	1.3us	NaN	1.3us	0	1.3us	0.0	0s	0	0s	0.0	1.486400ms	8	1.486400ms	2.30039904058163E-4	1.486400ms	8	1.486400ms	2.30039904058163E-4	
4	18	1	11	2	0	4597713.0	null	null	null	null	0	4597713.0	0	4597713.0	1.7976931348623157E308	0.0	3us	0	3us	NaN	3us	0	3us	0.0	0s	0	0s	0.0	194us	2	194us	0.004566932358065934	194us	2	194us	0.004566932358065934	
5	19	1	14	3	0	4469566.0	null	null	null	null	0	4469566.0	0	4469566.0	1.7976931348623157E308	0.0	1.3us	0	1.3us	NaN	1.3us	0	1.3us	0.0	0s	0	0s	0.0	274.3us	3	274.3us	0.009290633553392028	274.3us	3	274.3us	0.009290633553392028	
6	20	1	16	2	0	4468976.0	null	null	null	null	0	4468976.0	0	4468976.0	1.7976931348623157E308	0.0	1.8us	0	1.8us	NaN	1.8us	0	1.8us	0.0	0s	0	0s	0.0	246.9us	2	246.9us	6.600193396855136E-5	246.9us	2	246.9us	6.600193396855136E-5	
7	21	1	19	3	0	4450852.0	null	null	null	null	0	4450852.0	0	4450852.0	1.7976931348623157E308	0.0	1.2us	0	1.2us	NaN	1.2us	0	1.2us	0.0	0s	0	0s	0.0	248.9us	3	248.9us	0.0013518383928070588	248.9us	3	248.9us	0.0013518383928070588	
8	22	1	22	3	0	4436566.0	null	null	null	null	0	4436566.0	0	4436566.0	1.7976931348623157E308	0.0	1.4us	0	1.4us	NaN	1.4us	0	1.4us	0.0	0s	0	0s	0.0	352.2us	3	352.2us	0.0010699075143365915	352.2us	3	352.2us	0.0010699075143365915	
9	23	1	27	5	0	4422729.0	null	null	null	null	0	4422729.0	0	4422729.0	1.7976931348623157E308	0.0	1.4us	0	1.4us	NaN	1.4us	0	1.4us	0.0	0s	0	0s	0.0	375.5us	5	375.5us	6.2377072717954E-4	375.5us	5	375.5us	6.2377072717954E-4	
10	25	1	32	5	0	4402131.0	null	null	null	null	0	4402131.0	0	4402131.0	1.7976931348623157E308	0.0	1.2us	0	1.2us	NaN	1.2us	0	1.2us	0.0	0s	0	0s	0.0	361.1us	5	361.1us	9.314610956266955E-4	361.1us	5	361.1us	9.314610956266955E-4	
11	26	0	35	3	0	4399857.0	null	null	null	null	0	4399857.0	0	4399857.0	1.7976931348623157E308	0.0	1.7us	0	1.7us	NaN	1.7us	0	1.7us	0.0	0s	0	0s	0.0	233.8us	3	233.8us	1.721893328481272E-4	233.8us	3	233.8us	1.721893328481272E-4	
12	27	1	37	2	0	4326395.0	null	null	null	null	0	4326395.0	0	4326395.0	1.7976931348623157E308	0.0	1.8us	0	1.8us	NaN	1.8us	0	1.8us	0.0	0s	0	0s	0.0	190.6us	2	190.6us	0.0083482258627951	190.6us	2	190.6us	0.0083482258627951	
13	28	1	40	3	0	4304108.0	null	null	null	null	0	4304108.0	0	4304108.0	1.7976931348623157E308	0.0	1.5us	0	1.5us	NaN	1.5us	0	1.5us	0.0	0s	0	0s	0.0	314.6us	3	314.6us	0.0017171340111108806	314.6us	3	314.6us	0.0017171340111108806	
14	29	1	42	2	0	4236971.0	null	null	null	null	0	4236971.0	0	4236971.0	1.7976931348623157E308	0.0	1.6us	0	1.6us	NaN	1.6us	0	1.6us	0.0	0s	0	0s	0.0	415.4us	2	415.4us	0.007799176972325017	415.4us	2	415.4us	0.007799176972325017	
15	31	1	44	2	0	4213737.0	null	null	null	null	0	4213737.0	0	4213737.0	1.7976931348623157E308	0.0	1.6us	0	1.6us	NaN	1.6us	0	1.6us	0.0	0s	0	0s	0.0	271.2us	2	271.2us	0.0027418172085671433	271.2us	2	271.2us	0.0027418172085671433	
16	32	1	49	5	0	4180378.0	null	null	null	null	0	4180378.0	0	4180378.0	1.7976931348623157E308	0.0	1.4us	0	1.4us	NaN	1.4us	0	1.4us	0.0	0s	0	0s	0.0	234.3us	5	234.3us	0.00158334513995535	234.3us	5	234.3us	0.00158334513995535	
17	34	1	52	3	0	4178090.0	null	null	null	null	0	4178090.0	0	4178090.0	1.7976931348623157E308	0.0	1.5us	0	1.5us	NaN	1.5us	0	1.5us	0.0	0s	0	0s	0.0	156.9us	3	156.9us	1.8243964222057021E-4	156.9us	3	156.9us	1.8243964222057021E-4	
18	34	0	55	3	0	4176846.0	null	null	null	null	0	4176846.0	0	4176846.0	1.7976931348623157E308	0.0	1.7us	0	1.7us	NaN	1.7us	0	1.7us	0.0	0s	0	0s	0.0	166.4us	3	166.4us	9.924790195200058E-5	166.4us	3	166.4us	9.924790195200058E-5	
