"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	30	30	41	41	7	84852.7	6	92203.323	9	101933.17899999997	1	139531.022	5	117948.84	1.7976931348623157E308	0.0	5.801700ms	11	5.801700ms	2.767035698255245E-4	5.801700ms	11	5.801700ms	2.767035698255245E-4	62.762694ms	20	62.762694ms	0.0017925177825729	0s	0	0s	0.0	0s	0	0s	0.0	
3	34	4	71	30	7	84852.7	6	92203.323	9	101933.17899999997	1	139531.022	5	117948.84	1.7976931348623157E308	0.0	1.259101ms	11	1.259101ms	0.0	1.259101ms	11	1.259101ms	0.0	14.432802ms	20	14.432802ms	0.0016340604302526375	0s	0	0s	0.0	0s	0	0s	0.0	
4	41	7	103	32	7	84852.69999999998	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	1.383999ms	11	1.383999ms	0.0	1.383999ms	11	1.383999ms	0.0	13.692399ms	20	13.692399ms	0.001582392910445396	2.370400ms	1	2.370400ms	2.220446049250313E-16	2.370400ms	1	2.370400ms	2.220446049250313E-16	
5	48	6	139	36	7	69739.33399999999	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	1.282500ms	11	1.282500ms	0.012093185457038665	1.282500ms	11	1.282500ms	0.012093185457038665	11.221397ms	20	11.221397ms	0.0033962313942393907	2.113299ms	6	2.113299ms	0.008667671545317132	2.113299ms	6	2.113299ms	0.008667671545317132	
6	50	2	169	30	7	69739.33399999999	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	638.3us	11	638.3us	0.0	638.3us	11	638.3us	0.0	4.120092ms	20	4.120092ms	0.003268022613905253	0s	0	0s	0.0	0s	0	0s	0.0	
7	58	7	248	79	7	67278.47300000001	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	1.377999ms	11	1.377999ms	0.0	1.377999ms	11	1.377999ms	0.0	2.383498ms	20	2.383498ms	0.0	4.128300ms	48	4.128300ms	7.35136608846873E-4	4.128300ms	48	4.128300ms	7.35136608846873E-4	
8	63	4	288	40	7	65468.952000000005	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	584.5us	11	584.5us	0.0	584.5us	11	584.5us	0.0	1.754296ms	20	1.754296ms	0.0	2.424399ms	9	2.424399ms	0.002988443107037966	2.424399ms	9	2.424399ms	0.002988443107037966	
9	67	4	321	33	7	53729.87800000001	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	511.699us	11	511.699us	0.006291653817388579	511.699us	11	511.699us	0.006291653817388579	1.784701ms	20	1.784701ms	0.0	2.183100ms	2	2.183100ms	0.05914282085957323	2.183100ms	2	2.183100ms	0.05914282085957323	
10	69	2	350	29	7	53729.87800000001	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	447.299us	11	447.299us	0.0	447.299us	11	447.299us	0.0	1.667398ms	20	1.667398ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	74	4	415	65	7	53281.13500000001	6	92203.323	9	101933.17899999997	1	135115.164	5	117948.84	1.7976931348623157E308	0.0	486.1us	11	486.1us	0.0	486.1us	11	486.1us	0.0	3.016596ms	20	3.016596ms	0.0	2.432300ms	39	2.432300ms	2.1414957929424044E-4	2.432300ms	39	2.432300ms	2.1414957929424044E-4	
12	79	5	456	41	7	52249.68100000001	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	640.7us	11	640.7us	0.0	640.7us	11	640.7us	0.0	2.452496ms	20	2.452496ms	0.004078634757430738	2.280900ms	10	2.280900ms	0.00193587092317008	2.280900ms	10	2.280900ms	0.00193587092317008	
13	84	4	489	33	7	51957.19	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	419.399us	11	419.399us	0.0	419.399us	11	419.399us	0.0	1.420501ms	20	1.420501ms	0.0	2.276300ms	2	2.276300ms	0.0027989740262721052	2.276300ms	2	2.276300ms	0.0027989740262721052	
14	89	5	540	51	7	51761.19	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	361.801us	11	361.801us	0.0	361.801us	11	361.801us	0.0	1.203702ms	20	1.203702ms	4.922992432925488E-4	2.944899ms	20	2.944899ms	1.8861682088657794E-4	2.944899ms	20	2.944899ms	1.8861682088657794E-4	
15	93	4	573	33	7	51029.365000000005	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	277.2us	11	277.2us	0.0	277.2us	11	277.2us	0.0	1.477603ms	20	1.477603ms	6.031072454803332E-4	2.190100ms	2	2.190100ms	0.007069244350835002	2.190100ms	2	2.190100ms	0.007069244350835002	
16	97	4	624	51	7	47783.008	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	306.9us	11	306.9us	0.0019153769134588278	306.9us	11	306.9us	0.0019153769134588278	1.708295ms	20	1.708295ms	0.0032231446573843135	2.315300ms	20	2.315300ms	0.002173201645758277	2.315300ms	20	2.315300ms	0.002173201645758277	
17	99	1	655	31	7	47770.89300000001	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	273.7us	11	273.7us	2.3049273841507283E-5	273.7us	11	273.7us	2.3049273841507283E-5	966.102us	20	966.102us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
18	100	1	686	31	7	47770.89300000001	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	257.2us	11	257.2us	0.0	257.2us	11	257.2us	0.0	1.338597ms	20	1.338597ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
19	105	4	773	87	7	47670.08000000001	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	254.3us	11	254.3us	0.0	254.3us	11	254.3us	0.0	1.935903ms	20	1.935903ms	0.0	3.096401ms	58	3.096401ms	3.638523509313163E-5	3.096401ms	58	3.096401ms	3.638523509313163E-5	
20	109	4	807	34	7	43151.481000000014	6	92203.323	9	101933.17899999997	1	135115.164	8	112985.20900000002	1.7976931348623157E308	0.0	272.3us	11	272.3us	1.2543283226358742E-4	272.3us	11	272.3us	1.2543283226358742E-4	758.898us	20	758.898us	0.0	2.426399ms	3	2.426399ms	0.031179431626714254	2.426399ms	3	2.426399ms	0.031179431626714254	
21	111	1	837	30	7	43151.481000000014	6	92203.323	9	101933.17899999997	1	125147.94099999999	8	112985.20900000002	1.7976931348623157E308	0.0	257.8us	11	257.8us	0.0	257.8us	11	257.8us	0.0	848.302us	20	848.302us	0.003688417607959976	0s	0	0s	0.0	0s	0	0s	0.0	
22	115	4	907	70	7	42734.43200000001	6	92203.323	9	101933.17899999997	1	125147.94099999999	8	112985.20900000002	1.7976931348623157E308	0.0	299.4us	11	299.4us	5.416925978334925E-5	299.4us	11	299.4us	5.416925978334925E-5	862.199us	20	862.199us	0.0	3.101999ms	39	3.101999ms	2.3267466556377896E-4	3.101999ms	39	3.101999ms	2.3267466556377896E-4	
23	117	1	936	29	7	42734.43200000001	6	92203.323	9	101933.17899999997	1	125147.94099999999	8	112985.20900000002	1.7976931348623157E308	0.0	280.401us	11	280.401us	0.0	280.401us	11	280.401us	0.0	968.901us	20	968.901us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
24	122	4	977	41	7	41509.37300000001	6	92203.323	9	101933.17899999997	1	125147.94099999999	8	112985.20900000002	1.7976931348623157E308	0.0	271.799us	11	271.799us	0.0	271.799us	11	271.799us	0.0	1.867802ms	20	1.867802ms	0.0	2.894499ms	10	2.894499ms	0.0028666790282833366	2.894499ms	10	2.894499ms	0.0028666790282833366	
