"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	4839	4839	503455	503455	70	1.05980747E8	68	1.06226512E8	96	1.06384351E8	56	1.45280618E8	36	1.22017683E8	1.7976931348623157E308	0.0	56.171170700s	505000	56.171170700s	8.91187657304583E-5	930.438100ms	5050	930.438100ms	8.025424805355951E-5	51.182100ms	20	51.182100ms	0.06709548688134699	0s	0	0s	0.0	0s	0	0s	0.0	
3	9475	4635	1006828	503373	96	9.6182147E7	89	9.7139524E7	68	9.7582582E7	16	1.31718667E8	17	1.13625102E8	1.7976931348623157E308	0.0	53.938882800s	505000	53.938882800s	1.4712805037969437E-5	574.201500ms	5050	574.201500ms	5.3126929584373655E-6	16.781ms	20	16.781ms	0.0047218885142933705	0s	0	0s	0.0	0s	0	0s	0.0	
4	14005	4529	1510206	503378	61	9.2320782E7	96	9.3667393E7	89	9.4423236E7	21	1.22109771E8	27	1.08260675E8	1.7976931348623157E308	0.0	52.518149200s	505000	52.518149200s	8.075248867393571E-6	576.232600ms	5050	576.232600ms	5.1773754760216656E-6	10.611900ms	20	10.611900ms	0.00880064477477736	0s	0	0s	0.0	0s	0	0s	0.0	
5	18504	4498	2013497	503291	72	9.1025931E7	61	9.2320782E7	89	9.2573884E7	21	1.22109771E8	37	1.05242067E8	1.7976931348623157E308	0.0	52.419741s	505000	52.419741s	4.438155714289342E-6	538.586ms	5050	538.586ms	0.0	8.370300ms	20	8.370300ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	23044	4540	2517066	503569	72	9.0935105E7	88	9.1194839E7	84	9.1206272E7	21	1.22109771E8	45	1.0309775E8	1.7976931348623157E308	0.0	52.763327300s	505000	52.763327300s	3.168007651262562E-6	524.094400ms	5050	524.094400ms	1.9758486770823403E-7	9.734800ms	20	9.734800ms	0.0034290660678329863	0s	0	0s	0.0	0s	0	0s	0.0	
7	27545	4500	3020353	503287	15	8.806169E7	63	8.8609857E7	84	8.8835879E7	21	1.22109771E8	80	1.01830386E8	1.7976931348623157E308	0.0	52.078757600s	505000	52.078757600s	2.058554495423746E-6	523.142500ms	5050	523.142500ms	2.3125184593000478E-7	2.492800ms	20	2.492800ms	0.001019460687624618	0s	0	0s	0.0	0s	0	0s	0.0	
8	32050	4504	3523670	503317	72	8.4711936E7	63	8.6666421E7	15	8.806169E7	21	1.22109771E8	59	1.00861874E8	1.7976931348623157E308	0.0	52.315320500s	505000	52.315320500s	1.7272642547336715E-6	561.095600ms	5050	561.095600ms	0.0	2.726900ms	20	2.726900ms	0.0011792997448983266	0s	0	0s	0.0	0s	0	0s	0.0	
9	36549	4498	4027006	503336	72	8.4229299E7	63	8.6666421E7	15	8.806169E7	21	1.22109771E8	97	1.00395437E8	1.7976931348623157E308	0.0	52.382742200s	505000	52.382742200s	1.1788676666280106E-6	568.111100ms	5050	568.111100ms	1.1281961867607074E-6	6.013400ms	20	6.013400ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	41049	4500	4530187	503181	72	8.4229299E7	63	8.441202E7	15	8.806169E7	21	1.22109771E8	16	9.9931319E7	1.7976931348623157E308	0.0	52.233013800s	505000	52.233013800s	6.507140823733962E-7	591.620100ms	5050	591.620100ms	0.0	3.645300ms	20	3.645300ms	0.0012893958880460076	0s	0	0s	0.0	0s	0	0s	0.0	
11	45504	4455	5033476	503289	72	8.1749016E7	63	8.3376991E7	15	8.806169E7	21	1.22109771E8	80	9.9916333E7	1.7976931348623157E308	0.0	51.893968100s	505000	51.893968100s	9.192584852441586E-7	569.785ms	5050	569.785ms	0.0	1.264900ms	20	1.264900ms	8.796079722874217E-5	372.5us	2	372.5us	0.014723398089778739	372.5us	2	372.5us	0.014723398089778739	
12	50044	4540	5536933	503457	72	8.116734E7	63	8.312612E7	41	8.6521118E7	21	1.22109771E8	71	9.973671E7	1.7976931348623157E308	0.0	53.418892400s	505000	53.418892400s	8.079598072328309E-7	543.477100ms	5050	543.477100ms	0.0	1.156100ms	20	1.156100ms	3.382190917144978E-6	205.3us	65	205.3us	1.0946751381645504E-4	205.3us	65	205.3us	1.0946751381645504E-4	
13	54520	4475	6040211	503278	72	8.0346922E7	63	8.312612E7	41	8.6521118E7	21	1.22109771E8	75	9.9245087E7	1.7976931348623157E308	0.0	52.162141s	505000	52.162141s	5.326359252934874E-7	536.421900ms	5050	536.421900ms	0.0	1.359200ms	20	1.359200ms	0.0	83.6us	22	83.6us	4.5944252051043457E-4	83.6us	22	83.6us	4.5944252051043457E-4	
14	59337	4817	6543788	503577	72	7.8682657E7	63	8.2986025E7	10	8.5670426E7	21	1.22109771E8	94	9.8542035E7	1.7976931348623157E308	0.0	56.205604200s	505000	56.205604200s	1.0357059000975974E-6	521.019100ms	5050	521.019100ms	0.0	1.206ms	20	1.206ms	0.005710968605163231	153.5us	42	153.5us	4.931782843262757E-4	153.5us	42	153.5us	4.931782843262757E-4	
15	64101	4763	7047344	503556	72	7.8066251E7	63	8.2596453E7	10	8.5670426E7	49	1.14349663E8	74	9.8321515E7	1.7976931348623157E308	0.0	55.360256400s	505000	55.360256400s	6.149640305725328E-7	546.214200ms	5050	546.214200ms	0.0	1.387300ms	20	1.387300ms	0.0	339.1us	114	339.1us	6.871997440857403E-5	339.1us	114	339.1us	6.871997440857403E-5	
16	68591	4490	7550870	503526	72	7.6927885E7	63	8.183494E7	10	8.5670426E7	49	1.14349663E8	33	9.8041244E7	1.7976931348623157E308	0.0	52.114850300s	505000	52.114850300s	3.77243238341533E-7	568.426ms	5050	568.426ms	2.835509740926013E-6	1.246600ms	20	1.246600ms	0.002671504090632837	366.3us	125	366.3us	2.1323426944119816E-6	366.3us	125	366.3us	2.1323426944119816E-6	
17	73055	4463	8054011	503141	72	7.6927885E7	63	8.183494E7	10	8.5670426E7	49	1.14349663E8	98	9.7636558E7	1.7976931348623157E308	0.0	52.018334500s	505000	52.018334500s	4.285613748540267E-7	556.093600ms	5050	556.093600ms	0.0	1.949700ms	20	1.949700ms	0.0010592672184836893	0s	0	0s	0.0	0s	0	0s	0.0	
18	77530	4475	8557340	503329	72	7.5322336E7	63	8.183494E7	10	8.4590038E7	49	1.14349663E8	85	9.7090968E7	1.7976931348623157E308	0.0	52.111381s	505000	52.111381s	6.5478120404777E-7	583.657ms	5050	583.657ms	1.9456991849508447E-6	1.435800ms	20	1.435800ms	0.0	169.6us	60	169.6us	1.8591091297171883E-4	169.6us	60	169.6us	1.8591091297171883E-4	
19	82055	4525	9060585	503245	72	7.5322336E7	63	8.183494E7	10	8.4590038E7	49	1.14349663E8	16	9.7084804E7	1.7976931348623157E308	0.0	52.654102600s	505000	52.654102600s	3.282026154717587E-7	556.649ms	5050	556.649ms	0.0	1.192600ms	20	1.192600ms	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
20	86525	4469	9564023	503438	72	7.4301554E7	63	8.183494E7	10	8.4590038E7	49	1.14349663E8	19	9.7080164E7	1.7976931348623157E308	0.0	51.990671200s	505000	51.990671200s	2.0591887480799952E-7	573.257200ms	5050	573.257200ms	0.0	1.179ms	20	1.179ms	0.0026024139094825483	447.6us	167	447.6us	8.115078993126633E-5	447.6us	167	447.6us	8.115078993126633E-5	
21	91024	4499	10067645	503622	72	7.3529287E7	63	8.183494E7	10	8.4590038E7	49	1.14349663E8	19	9.7080164E7	1.7976931348623157E308	0.0	52.330270600s	505000	52.330270600s	3.753502006097449E-7	535.570700ms	5050	535.570700ms	0.0	974.9us	20	974.9us	3.183886962764892E-4	846.8us	329	846.8us	3.159174987675881E-5	846.8us	329	846.8us	3.159174987675881E-5	
22	95539	4515	10570821	503176	72	7.2992851E7	63	8.1693128E7	10	8.4590038E7	49	1.14349663E8	98	9.6934552E7	1.7976931348623157E308	0.0	52.419187s	505000	52.419187s	3.154507551851698E-7	574.497300ms	5050	574.497300ms	0.0	1.175400ms	20	1.175400ms	0.0	108.6us	34	108.6us	2.145747640904609E-4	108.6us	34	108.6us	2.145747640904609E-4	
23	100068	4528	11074214	503393	72	7.2213344E7	63	8.1449712E7	10	8.4590038E7	49	1.14349663E8	98	9.6934552E7	1.7976931348623157E308	0.0	52.589060600s	505000	52.589060600s	1.3535780626033878E-7	645.185600ms	5050	645.185600ms	0.0	1.182600ms	20	1.182600ms	0.0	110.2us	34	110.2us	3.1409482102004937E-4	110.2us	34	110.2us	3.1409482102004937E-4	
24	104573	4505	11577463	503249	72	7.2093009E7	63	8.1449712E7	10	8.4207803E7	49	1.14349663E8	98	9.6934552E7	1.7976931348623157E308	0.0	52.244836300s	505000	52.244836300s	1.0407598771338694E-7	575.422400ms	5050	575.422400ms	0.0	1.780800ms	20	1.780800ms	0.0	146.3us	44	146.3us	3.787231295695773E-5	146.3us	44	146.3us	3.787231295695773E-5	
25	109795	5221	12081046	503583	72	7.1396768E7	63	8.1449712E7	10	8.4207803E7	49	1.14349663E8	98	9.6934552E7	1.7976931348623157E308	0.0	1m 0.698253400s	505000	1m 0.698253400s	1.2572482159280578E-7	558.100400ms	5050	558.100400ms	0.0	1.026400ms	20	1.026400ms	0.0	184.4us	61	184.4us	1.583203010051348E-4	184.4us	61	184.4us	1.583203010051348E-4	
