"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	276	276	97957	97957	0	1697906.0	5	1773963.0	48	1827430.0	45	2067716.0	17	1964890.0	1.7976931348623157E308	0.0	253.972400ms	1100	253.972400ms	5.36864055550162E-5	253.972400ms	1100	253.972400ms	5.36864055550162E-5	97.435400ms	50	97.435400ms	0.015709470060406308	0s	0	0s	0.0	0s	0	0s	0.0	
3	542	266	99106	1149	0	1678049.0	5	1773963.0	45	1780605.0	37	2037252.0	10	1918605.0	1.7976931348623157E308	0.0	257.364600ms	1100	257.364600ms	1.0631812468898862E-5	257.364600ms	1100	257.364600ms	1.0631812468898862E-5	48.937400ms	50	48.937400ms	0.01635597274520391	0s	0	0s	0.0	0s	0	0s	0.0	
4	801	259	100254	1148	0	1672218.0	19	1694647.0	28	1736606.0	37	2037252.0	42	1876752.0	1.7976931348623157E308	0.0	256.914ms	1100	256.914ms	3.1589715740774275E-6	256.914ms	1100	256.914ms	3.1589715740774275E-6	7.268100ms	50	7.268100ms	0.023844382101677716	0s	0	0s	0.0	0s	0	0s	0.0	
5	1064	262	101404	1150	14	1625178.0	11	1630729.0	7	1639275.0	37	2037252.0	30	1852106.0	1.7976931348623157E308	0.0	259.662ms	1100	259.662ms	0.0	259.662ms	1100	259.662ms	0.0	11.448700ms	50	11.448700ms	0.017604660816391397	0s	0	0s	0.0	0s	0	0s	0.0	
6	1318	254	102554	1150	48	1546580.0	14	1565042.0	6	1614535.0	24	1915641.0	29	1794440.0	1.7976931348623157E308	0.0	251.622200ms	1100	251.622200ms	3.3638832736531524E-5	251.622200ms	1100	251.622200ms	3.3638832736531524E-5	5.076800ms	50	5.076800ms	0.027776276858205655	0s	0	0s	0.0	0s	0	0s	0.0	
7	1570	252	103701	1147	48	1529535.0	12	1542360.0	14	1565042.0	47	1915242.0	20	1775225.0	1.7976931348623157E308	0.0	249.964700ms	1100	249.964700ms	1.0019174271912558E-5	249.964700ms	1100	249.964700ms	1.0019174271912558E-5	3.845400ms	50	3.845400ms	0.018549317822980905	0s	0	0s	0.0	0s	0	0s	0.0	
8	1826	255	104848	1147	27	1457554.0	48	1529535.0	12	1542360.0	47	1855485.0	2	1720968.0	1.7976931348623157E308	0.0	252.523100ms	1100	252.523100ms	0.0	252.523100ms	1100	252.523100ms	0.0	8.412900ms	50	8.412900ms	0.021870949115638007	0s	0	0s	0.0	0s	0	0s	0.0	
9	2082	255	105996	1148	27	1457554.0	48	1529535.0	16	1538802.0	15	1802450.0	0	1672218.0	1.7976931348623157E308	0.0	253.349800ms	1100	253.349800ms	0.0	253.349800ms	1100	253.349800ms	0.0	2.874ms	50	2.874ms	0.016184227378107013	0s	0	0s	0.0	0s	0	0s	0.0	
10	2341	258	107196	1200	27	1457554.0	48	1529535.0	38	1533982.0	40	1799581.0	7	1639275.0	1.7976931348623157E308	0.0	253.355400ms	1100	253.355400ms	0.0	253.355400ms	1100	253.355400ms	0.0	3.303900ms	50	3.303900ms	0.018757933067769676	2.829600ms	51	2.829600ms	0.0	2.829600ms	51	2.829600ms	0.0	
11	2598	257	108371	1175	27	1457478.0	43	1496902.0	48	1529535.0	4	1779301.0	21	1622268.0	1.7976931348623157E308	0.0	253.080700ms	1100	253.080700ms	0.0	253.080700ms	1100	253.080700ms	0.0	3.628ms	50	3.628ms	0.010870860374720303	2.336100ms	32	2.336100ms	1.6294422024859534E-6	2.336100ms	32	2.336100ms	1.6294422024859534E-6	
12	2883	285	109528	1157	27	1456158.0	42	1490162.0	43	1496902.0	4	1779301.0	25	1598832.0	1.7976931348623157E308	0.0	281.087700ms	1100	281.087700ms	0.0	281.087700ms	1100	281.087700ms	0.0	3.681500ms	50	3.681500ms	0.008335521090962255	2.423500ms	12	2.423500ms	7.54728373258499E-5	2.423500ms	12	2.423500ms	7.54728373258499E-5	
13	3139	256	110702	1174	18	1411845.0	27	1455058.0	42	1490162.0	46	1741029.0	31	1588422.0	1.7976931348623157E308	0.0	251.374700ms	1100	251.374700ms	0.0	251.374700ms	1100	251.374700ms	0.0	2.853800ms	50	2.853800ms	0.008450743843131561	2.375900ms	26	2.375900ms	2.905432810703998E-5	2.375900ms	26	2.375900ms	2.905432810703998E-5	
14	3390	251	111846	1144	18	1362561.0	27	1455058.0	29	1470443.0	2	1720968.0	17	1578069.0	1.7976931348623157E308	0.0	249.797ms	1100	249.797ms	3.1734104213731914E-5	249.797ms	1100	249.797ms	3.1734104213731914E-5	1.937900ms	50	1.937900ms	0.010428018012627892	0s	0	0s	0.0	0s	0	0s	0.0	
15	3642	252	112994	1148	18	1362561.0	34	1416657.0	20	1433711.0	10	1718945.0	36	1554954.0	1.7976931348623157E308	0.0	250.697900ms	1100	250.697900ms	0.0	250.697900ms	1100	250.697900ms	0.0	2.007700ms	50	2.007700ms	0.014202602422116717	0s	0	0s	0.0	0s	0	0s	0.0	
16	3896	253	114194	1200	18	1362561.0	1	1393012.0	34	1416657.0	10	1718945.0	15	1551675.0	1.7976931348623157E308	0.0	249.847200ms	1100	249.847200ms	0.0	249.847200ms	1100	249.847200ms	0.0	2.253500ms	50	2.253500ms	0.0073846471884336864	2.572800ms	51	2.572800ms	0.0	2.572800ms	51	2.572800ms	0.0	
17	4161	264	115393	1199	18	1362561.0	1	1393012.0	34	1416657.0	19	1664088.0	13	1545725.0	1.7976931348623157E308	0.0	260.964ms	1100	260.964ms	0.0	260.964ms	1100	260.964ms	0.0	2.089ms	50	2.089ms	0.006991539736545955	2.709100ms	51	2.709100ms	0.0	2.709100ms	51	2.709100ms	0.0	
18	4424	262	116566	1173	18	1350841.0	1	1393012.0	34	1416657.0	19	1664088.0	16	1538802.0	1.7976931348623157E308	0.0	258.848200ms	1100	258.848200ms	0.0	258.848200ms	1100	258.848200ms	0.0	2.331400ms	50	2.331400ms	0.005125818652826721	2.487500ms	23	2.487500ms	3.7397607695457605E-4	2.487500ms	23	2.487500ms	3.7397607695457605E-4	
19	4715	291	117730	1164	18	1339074.0	1	1393012.0	34	1416657.0	19	1664088.0	48	1507505.0	1.7976931348623157E308	0.0	287.585ms	1100	287.585ms	0.0	287.585ms	1100	287.585ms	0.0	2.599600ms	50	2.599600ms	0.008281216114150437	2.553600ms	15	2.553600ms	5.807246498045796E-4	2.553600ms	15	2.553600ms	5.807246498045796E-4	
