"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	31	31	128	128	2	3658755.0	1	4016603.0	0	4294682.0	3	4346821.0	0	4294682.0	1.7976931348623157E308	0.0	36.267800ms	120	36.267800ms	0.004341095611254373	10.083900ms	30	10.083900ms	0.006632374179997972	5.838700ms	4	5.838700ms	0.0214446180337777	0s	0	0s	0.0	0s	0	0s	0.0	
3	41	10	252	124	3	3463771.0	2	3483518.0	1	3571651.0	0	3910504.0	1	3571651.0	1.7976931348623157E308	0.0	26.483500ms	120	26.483500ms	0.002239840233424182	5.612600ms	30	5.612600ms	0.001596508466222346	1.482800ms	4	1.482800ms	0.049809032354198673	0s	0	0s	0.0	0s	0	0s	0.0	
4	48	7	375	123	1	2798755.0	3	3284555.0	2	3403771.0	0	3881790.0	2	3403771.0	1.7976931348623157E308	0.0	14.862500ms	120	14.862500ms	0.0011970649787161973	4.177900ms	30	4.177900ms	0.0017246713673238416	903.9us	4	903.9us	0.042355268866053286	0s	0	0s	0.0	0s	0	0s	0.0	
5	57	8	498	123	1	2667907.0	0	2784488.0	3	3092170.0	2	3301960.0	3	3092170.0	1.7976931348623157E308	0.0	20.180800ms	120	20.180800ms	0.0015153893910740965	4.773700ms	30	4.773700ms	0.0015584072203533343	880.6us	4	880.6us	0.06573441581376688	0s	0	0s	0.0	0s	0	0s	0.0	
6	62	5	622	124	2	2570993.0	1	2658490.0	0	2723027.0	3	3027068.0	0	2723027.0	1.7976931348623157E308	0.0	12.834300ms	120	12.834300ms	8.274884653092581E-4	3.303300ms	30	3.303300ms	1.1765777442767078E-4	479.2us	4	479.2us	0.04617892955056113	0s	0	0s	0.0	0s	0	0s	0.0	
7	68	5	745	123	3	2422326.0	1	2556141.0	2	2562882.0	0	2574364.0	2	2562882.0	1.7976931348623157E308	0.0	10.490300ms	120	10.490300ms	0.0013796434890146693	2.685100ms	30	2.685100ms	1.0516040559685283E-4	846.9us	4	846.9us	0.03530729743763017	0s	0	0s	0.0	0s	0	0s	0.0	
8	71	3	865	120	3	2337292.0	0	2360949.0	1	2434785.0	2	2468817.0	1	2434785.0	1.7976931348623157E308	0.0	6.831600ms	120	6.831600ms	0.0012694235397313013	1.637100ms	30	1.637100ms	0.0011701425269210956	467.7us	4	467.7us	0.012889105814096219	0s	0	0s	0.0	0s	0	0s	0.0	
9	74	2	989	124	2	2279337.0	3	2332457.0	0	2332983.0	1	2411476.0	0	2332983.0	1.7976931348623157E308	0.0	3.836600ms	120	3.836600ms	6.281631534642368E-4	930us	30	930us	6.895444243452121E-5	450.1us	4	450.1us	0.0065931990210994496	0s	0	0s	0.0	0s	0	0s	0.0	
10	80	5	1113	124	0	1946650.0	2	2157830.0	3	2237658.0	1	2395864.0	3	2237658.0	1.7976931348623157E308	0.0	7.414200ms	120	7.414200ms	0.001335686476863974	1.620800ms	30	1.620800ms	0.0017769348426026213	462us	4	462us	0.02811786455366369	0s	0	0s	0.0	0s	0	0s	0.0	
11	83	2	1236	123	0	1946650.0	2	2132141.0	3	2171724.0	1	2391768.0	3	2171724.0	1.7976931348623157E308	0.0	4.462700ms	120	4.462700ms	2.8527468439499084E-4	890us	30	890us	0.0	561.2us	4	561.2us	0.002258388011036533	0s	0	0s	0.0	0s	0	0s	0.0	
12	87	4	1378	142	0	1931109.0	3	1967436.0	2	2062959.0	1	2363088.0	2	2062959.0	1.7976931348623157E308	0.0	4.863ms	120	4.863ms	7.68774163576851E-4	1.310800ms	30	1.310800ms	0.0	407.3us	4	407.3us	0.012276615014960246	586.2us	20	586.2us	3.991729381244702E-4	586.2us	20	586.2us	3.991729381244702E-4	
13	93	5	1601	223	1	1855058.0	0	1914071.0	3	1930607.0	2	2062959.0	3	1930607.0	1.7976931348623157E308	0.0	5.738ms	120	5.738ms	2.6307975803628776E-4	1.694200ms	30	1.694200ms	1.6707273902084226E-4	977.5us	4	977.5us	0.05513384887102957	830.7us	99	830.7us	3.868609731872761E-5	830.7us	99	830.7us	3.868609731872761E-5	
14	96	2	1724	123	1	1822048.0	3	1852899.0	0	1906669.0	2	1909145.0	0	1906669.0	1.7976931348623157E308	0.0	4.400200ms	120	4.400200ms	7.698325889030938E-4	1.287600ms	30	1.287600ms	5.931530622402814E-4	338.2us	4	338.2us	0.011369469776180724	0s	0	0s	0.0	0s	0	0s	0.0	
15	100	4	1846	122	0	1783280.0	1	1820836.0	2	1834480.0	3	1852899.0	2	1834480.0	1.7976931348623157E308	0.0	5.372700ms	120	5.372700ms	5.522048384924381E-4	1.372100ms	30	1.372100ms	2.2172851648253703E-5	773.5us	4	773.5us	0.009816071903408496	0s	0	0s	0.0	0s	0	0s	0.0	
16	102	2	1969	123	2	1696865.0	1	1776439.0	0	1783280.0	3	1846089.0	0	1783280.0	1.7976931348623157E308	0.0	2.711500ms	120	2.711500ms	4.3785164612333654E-4	659.4us	30	659.4us	0.0	347.8us	4	347.8us	0.01294999127818236	0s	0	0s	0.0	0s	0	0s	0.0	
17	105	2	2093	124	2	1679382.0	1	1774043.0	0	1783280.0	3	1841279.0	0	1783280.0	1.7976931348623157E308	0.0	3.628700ms	120	3.628700ms	1.1881159748703684E-4	878.2us	30	878.2us	3.434372602809691E-4	365.9us	4	365.9us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
18	109	3	2217	124	2	1617432.0	0	1730241.0	1	1764440.0	3	1841279.0	1	1764440.0	1.7976931348623157E308	0.0	5.729400ms	120	5.729400ms	3.816749170860898E-4	1.471600ms	30	1.471600ms	0.0012296189907954225	350.9us	4	350.9us	0.006603463506541396	0s	0	0s	0.0	0s	0	0s	0.0	
19	111	2	2339	122	2	1617432.0	0	1706420.0	1	1713063.0	3	1841279.0	1	1713063.0	1.7976931348623157E308	0.0	3.247400ms	120	3.247400ms	1.818835209330581E-4	889.8us	30	889.8us	0.0	336.7us	4	336.7us	0.005307633016707863	0s	0	0s	0.0	0s	0	0s	0.0	
