"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	483	483	48462	48462	2	71180.389	0	71950.134	4	73188.64799999999	17	92545.873	13	81283.329	1.7976931348623157E308	0.0	4.809591293s	8200	4.809591293s	1.52549011678592E-4	296.345700ms	410	296.345700ms	1.9888939980511252E-4	79.663105ms	100	79.663105ms	5.927409778004943E-4	1.963ms	2	1.963ms	0.006726641614904438	0s	0	0s	0.0	
3	946	463	56759	8297	2	65398.067	0	66661.03000000001	4	67647.19699999999	18	91559.61799999999	7	75811.13199999997	1.7976931348623157E308	0.0	4.637994198s	8200	4.637994198s	1.4970654290694625E-4	248.384499ms	410	248.384499ms	1.9813356724200952E-4	21.095406ms	100	21.095406ms	0.0	1.703ms	1	1.703ms	0.02453788511995547	0s	0	0s	0.0	
4	1398	452	65047	8288	6	61692.317	1	62259.602	2	65398.067	18	85386.718	8	73025.76699999998	1.7976931348623157E308	0.0	4.598316602s	8200	4.598316602s	1.112322532744361E-4	255.328300ms	410	255.328300ms	0.0	10.483305ms	100	10.483305ms	0.0	1.676699ms	3	1.676699ms	0.014598473605106835	0s	0	0s	0.0	
5	1865	466	73339	8292	4	50584.861	9	57607.185	6	59130.270000000004	18	82746.266	7	64556.87300000001	1.7976931348623157E308	0.0	4.738544195s	8200	4.738544195s	1.9588514265188848E-4	260.129899ms	410	260.129899ms	1.012913021560079E-4	6.757788ms	100	6.757788ms	0.0	1.790301ms	3	1.790301ms	0.0035082466416693028	0s	0	0s	0.0	
6	2334	469	81639	8300	4	45635.35800000001	9	55728.81800000001	5	57329.166	18	79146.89799999999	3	64212.02600000001	1.7976931348623157E308	0.0	4.727636596s	8200	4.727636596s	9.467329315958738E-5	251.831101ms	410	251.831101ms	2.3864765659008821E-4	6.003702ms	100	6.003702ms	0.0	1.911600ms	4	1.911600ms	0.006826721945374564	0s	0	0s	0.0	
7	2808	474	89938	8299	4	41724.876	11	47977.22099999998	9	51154.305	18	72038.392	0	58924.547999999995	1.7976931348623157E308	0.0	4.841836002s	8200	4.841836002s	2.1145227554221342E-4	252.052401ms	410	252.052401ms	2.089993678938552E-4	6.452487ms	100	6.452487ms	0.0	1.999099ms	6	1.999099ms	0.003149834964683814	0s	0	0s	0.0	
8	3283	475	98230	8292	4	34770.085	11	43502.79099999998	6	44088.390999999996	18	65400.551000000014	7	54170.781	1.7976931348623157E308	0.0	4.855069901s	8200	4.855069901s	2.0916426316227912E-4	241.184901ms	410	241.184901ms	4.065417684656216E-4	4.144105ms	100	4.144105ms	0.0	2.344701ms	2	2.344701ms	0.010775934587768099	0s	0	0s	0.0	
9	3744	460	106540	8310	4	34770.085	11	36021.778	6	42057.151999999995	19	65018.87599999999	7	52540.285	1.7976931348623157E308	0.0	4.586359700s	8200	4.586359700s	1.2397413511173875E-4	236.346200ms	410	236.346200ms	0.0	3.283505ms	100	3.283505ms	2.247760270222665E-5	1.959ms	19	1.959ms	5.64584008828271E-4	0s	0	0s	0.0	
10	4196	451	114831	8291	4	34770.085	11	36017.05999999999	7	36444.407999999996	13	59796.41000000002	2	49464.643000000004	1.7976931348623157E308	0.0	4.694121903s	8200	4.694121903s	1.1590503828629828E-4	292.172300ms	410	292.172300ms	0.0	4.110814ms	100	4.110814ms	0.0	2.330099ms	5	2.330099ms	0.01608611936016857	0s	0	0s	0.0	
11	4657	460	123133	8302	4	31389.004	7	34403.416	11	35989.318999999996	18	56737.942	2	46829.559	1.7976931348623157E308	0.0	4.695596107s	8200	4.695596107s	1.572840238912847E-4	276.281600ms	410	276.281600ms	2.371733927135996E-4	3.666405ms	100	3.666405ms	0.0	2.369400ms	22	2.369400ms	2.553839846663918E-4	0s	0	0s	0.0	
