"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	342	342	2252793	2252793	0	992014.0	null	null	null	null	0	992014.0	0	992014.0	1.7976931348623157E308	0.0	336.659100ms	1100	336.659100ms	1.7341408261356187E-4	336.659100ms	1100	336.659100ms	1.7341408261356187E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	682	339	2253893	1100	0	861957.0	null	null	null	null	0	861957.0	0	861957.0	1.7976931348623157E308	0.0	339.246900ms	1100	339.246900ms	1.1918545137834383E-4	339.246900ms	1100	339.246900ms	1.1918545137834383E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
4	1017	335	2254993	1100	0	765868.0	null	null	null	null	0	765868.0	0	765868.0	1.7976931348623157E308	0.0	334.544400ms	1100	334.544400ms	1.0134338066009829E-4	334.544400ms	1100	334.544400ms	1.0134338066009829E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
5	1364	347	2256093	1100	0	702429.0	null	null	null	null	0	702429.0	0	702429.0	1.7976931348623157E308	0.0	346.460700ms	1100	346.460700ms	7.530255629144737E-5	346.460700ms	1100	346.460700ms	7.530255629144737E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	1702	337	2257193	1100	0	682156.0	null	null	null	null	0	682156.0	0	682156.0	1.7976931348623157E308	0.0	337.153500ms	1100	337.153500ms	2.6237527209155692E-5	337.153500ms	1100	337.153500ms	2.6237527209155692E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
7	2038	335	2258293	1100	0	666852.0	null	null	null	null	0	666852.0	0	666852.0	1.7976931348623157E308	0.0	335.259700ms	1100	335.259700ms	2.039522817761228E-5	335.259700ms	1100	335.259700ms	2.039522817761228E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
8	2379	341	2259393	1100	0	647052.0	null	null	null	null	0	647052.0	0	647052.0	1.7976931348623157E308	0.0	341.113800ms	1100	341.113800ms	2.6992496086088094E-5	341.113800ms	1100	341.113800ms	2.6992496086088094E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
9	2713	333	2260493	1100	0	638519.0	null	null	null	null	0	638519.0	0	638519.0	1.7976931348623157E308	0.0	332.757200ms	1100	332.757200ms	1.1988638822340026E-5	332.757200ms	1100	332.757200ms	1.1988638822340026E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	3047	333	2261593	1100	0	618781.0	null	null	null	null	0	618781.0	0	618781.0	1.7976931348623157E308	0.0	333.335900ms	1100	333.335900ms	2.810196151349667E-5	333.335900ms	1100	333.335900ms	2.810196151349667E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	3384	337	2262693	1100	0	607040.0	null	null	null	null	0	607040.0	0	607040.0	1.7976931348623157E308	0.0	336.851400ms	1100	336.851400ms	1.724945718054755E-5	336.851400ms	1100	336.851400ms	1.724945718054755E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
12	3716	332	2263793	1100	0	598011.0	null	null	null	null	0	598011.0	0	598011.0	1.7976931348623157E308	0.0	331.601800ms	1100	331.601800ms	1.3521649015191463E-5	331.601800ms	1100	331.601800ms	1.3521649015191463E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
13	4052	336	2264893	1100	0	589418.0	null	null	null	null	0	589418.0	0	589418.0	1.7976931348623157E308	0.0	335.532900ms	1100	335.532900ms	1.3063000817406674E-5	335.532900ms	1100	335.532900ms	1.3063000817406674E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
14	4386	334	2265993	1100	0	575976.0	null	null	null	null	0	575976.0	0	575976.0	1.7976931348623157E308	0.0	333.529200ms	1100	333.529200ms	2.0732315606242123E-5	333.529200ms	1100	333.529200ms	2.0732315606242123E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
15	4729	342	2267093	1100	0	571681.0	null	null	null	null	0	571681.0	0	571681.0	1.7976931348623157E308	0.0	341.963100ms	1100	341.963100ms	6.779007206108326E-6	341.963100ms	1100	341.963100ms	6.779007206108326E-6	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
16	5089	360	2268193	1100	0	566537.0	null	null	null	null	0	566537.0	0	566537.0	1.7976931348623157E308	0.0	359.621800ms	1100	359.621800ms	8.180022838547473E-6	359.621800ms	1100	359.621800ms	8.180022838547473E-6	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
17	5445	355	2269293	1100	0	560728.0	null	null	null	null	0	560728.0	0	560728.0	1.7976931348623157E308	0.0	355.297200ms	1100	355.297200ms	9.321384288950372E-6	355.297200ms	1100	355.297200ms	9.321384288950372E-6	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
