"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	41	41	430035	430035	0	4040142.327672777	46	4094285.7713880967	33	4192732.6063266145	45	4311664.389643055	14	4282928.279975332	1.7976931348623157E308	0.0	31.231500ms	220	1	1.6232549868206385E-4	31.231500ms	220	1	1.6232549868206385E-4	82.459800ms	100	0	0.0025028704792861966	0s	0	0	0.0	0s	0	0	0.0	
3	82	40	430355	320	0	3866099.8050723416	45	4085980.451285364	46	4094285.7713880967	40	4309684.8711536	7	4241322.127215336	1.7976931348623157E308	0.0	30.407100ms	220	1	1.958105213368114E-4	30.407100ms	220	1	1.958105213368114E-4	80.636200ms	100	0	0.0024551802588996152	0s	0	0	0.0	0s	0	0	0.0	
4	123	41	430673	318	0	3725922.5200779415	45	4085980.451285364	46	4094285.7713880967	40	4309684.8711536	38	4232716.341741885	1.7976931348623157E308	0.0	30.864700ms	220	1	1.6480937103881897E-4	30.864700ms	220	1	1.6480937103881897E-4	81.276600ms	100	0	0.0010833222945808674	0s	0	0	0.0	0s	0	0	0.0	
5	163	40	430993	320	0	3628866.6369941225	45	4085980.451285364	46	4094285.7713880967	40	4309684.8711536	34	4228312.704199968	1.7976931348623157E308	0.0	30.834300ms	220	1	1.1840372486253994E-4	30.834300ms	220	1	1.1840372486253994E-4	80.278900ms	100	0	9.064327361268887E-4	0s	0	0	0.0	0s	0	0	0.0	
6	204	40	431313	320	0	3564750.217433389	45	4085980.451285364	46	4094285.7713880967	40	4309684.8711536	20	4223321.372804546	1.7976931348623157E308	0.0	30.548800ms	220	1	8.031109982372159E-5	30.548800ms	220	1	8.031109982372159E-5	80.858500ms	100	0	6.183028798081247E-4	0s	0	0	0.0	0s	0	0	0.0	
7	245	40	431633	320	0	3466633.563053574	45	4085980.451285364	46	4094285.7713880967	40	4309684.8711536	25	4218656.783699021	1.7976931348623157E308	0.0	30.66ms	220	1	1.251096894403528E-4	30.66ms	220	1	1.251096894403528E-4	80.304300ms	100	0	2.2765060580446028E-4	0s	0	0	0.0	0s	0	0	0.0	
8	287	42	431951	318	0	3354310.561266341	45	4085980.451285364	46	4094285.7713880967	29	4297888.187872037	25	4218656.783699021	1.7976931348623157E308	0.0	31.728900ms	220	1	1.472780695583971E-4	31.728900ms	220	1	1.472780695583971E-4	84.535ms	100	0	1.8178724583209905E-4	0s	0	0	0.0	0s	0	0	0.0	
9	330	42	432271	320	0	3287703.9899441344	45	4085980.451285364	46	4094285.7713880967	29	4297888.187872037	25	4218656.783699021	1.7976931348623157E308	0.0	30.716900ms	220	1	9.025912682914073E-5	30.716900ms	220	1	9.025912682914073E-5	93.676200ms	100	0	1.2253540953980347E-5	0s	0	0	0.0	0s	0	0	0.0	
10	370	40	432591	320	0	3218930.165163404	45	4085980.451285364	46	4094285.7713880967	29	4297888.187872037	3	4216996.239858511	1.7976931348623157E308	0.0	30.512600ms	220	1	9.508407551714489E-5	30.512600ms	220	1	9.508407551714489E-5	83.033800ms	100	0	4.4494487723260255E-4	0s	0	0	0.0	0s	0	0	0.0	
11	411	40	432910	319	0	3096981.092388891	45	4085980.451285364	46	4094285.7713880967	29	4297888.187872037	17	4216956.996031989	1.7976931348623157E308	0.0	30.935500ms	220	1	1.722044091406179E-4	30.935500ms	220	1	1.722044091406179E-4	80.403500ms	100	0	2.146553569914267E-4	0s	0	0	0.0	0s	0	0	0.0	
12	452	41	433230	320	0	3031739.782300869	45	4085980.451285364	46	4094285.7713880967	23	4291594.056258658	37	4216649.240524679	1.7976931348623157E308	0.0	31.063200ms	220	1	9.575499515312244E-5	31.063200ms	220	1	9.575499515312244E-5	80.940400ms	100	0	3.8751864712532224E-4	0s	0	0	0.0	0s	0	0	0.0	
13	493	40	433549	319	0	2982050.5174898314	45	4085980.451285364	15	4089059.0558636105	23	4291594.056258658	7	4216611.94528838	1.7976931348623157E308	0.0	30.378100ms	220	1	7.44985753441588E-5	30.378100ms	220	1	7.44985753441588E-5	86.043700ms	100	0	4.57022508590037E-4	0s	0	0	0.0	0s	0	0	0.0	
14	534	40	433868	319	0	2946283.28179978	45	4085980.451285364	15	4089059.0558636105	23	4291594.056258658	7	4216611.94528838	1.7976931348623157E308	0.0	30.862100ms	220	1	5.451897715754969E-5	30.862100ms	220	1	5.451897715754969E-5	81.224500ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
15	575	41	434187	319	0	2904578.2503404706	45	4085980.451285364	15	4089059.0558636105	23	4291594.056258658	7	4216611.94528838	1.7976931348623157E308	0.0	30.490900ms	220	1	6.434151325029537E-5	30.490900ms	220	1	6.434151325029537E-5	85.138700ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
16	615	40	434507	320	0	2868513.808262487	45	4085980.451285364	15	4089059.0558636105	23	4291594.056258658	14	4211676.147996702	1.7976931348623157E308	0.0	30.105500ms	220	1	5.643823923608808E-5	30.105500ms	220	1	5.643823923608808E-5	81.900600ms	100	0	1.4922805862951916E-4	0s	0	0	0.0	0s	0	0	0.0	
17	658	42	434827	320	0	2819648.2577349846	45	4085980.451285364	15	4089059.0558636105	23	4291594.056258658	14	4211676.147996702	1.7976931348623157E308	0.0	31.112500ms	220	1	7.74324802347434E-5	31.112500ms	220	1	7.74324802347434E-5	87.600200ms	100	0	3.2009937008184996E-5	0s	0	0	0.0	0s	0	0	0.0	
18	697	39	435147	320	0	2757473.21474619	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	14	4211676.147996702	1.7976931348623157E308	0.0	30.031900ms	220	1	1.0023017267915244E-4	30.031900ms	220	1	1.0023017267915244E-4	80.727600ms	100	0	2.881114298933096E-4	0s	0	0	0.0	0s	0	0	0.0	
19	738	40	435466	319	0	2707025.76261377	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	14	4211676.147996702	1.7976931348623157E308	0.0	30.034600ms	220	1	8.315823318813783E-5	30.034600ms	220	1	8.315823318813783E-5	80.429700ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
20	780	42	435785	319	0	2671363.2577038975	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	14	4211676.147996702	1.7976931348623157E308	0.0	32.233600ms	220	1	5.9882065876003126E-5	32.233600ms	220	1	5.9882065876003126E-5	81.827800ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
21	821	41	436105	320	0	2627985.707313183	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	14	4211676.147996702	1.7976931348623157E308	0.0	31.308700ms	220	1	7.380901231816359E-5	31.308700ms	220	1	7.380901231816359E-5	80.605200ms	100	0	8.681264490986162E-5	0s	0	0	0.0	0s	0	0	0.0	
22	862	40	436424	319	0	2592091.483387496	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	14	4211676.147996702	1.7976931348623157E308	0.0	30.595900ms	220	1	6.20838853288084E-5	30.595900ms	220	1	6.20838853288084E-5	82.568600ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
23	903	40	436744	320	0	2525859.7697607814	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.725900ms	220	1	1.1614298557254568E-4	30.725900ms	220	1	1.1614298557254568E-4	79.974800ms	100	0	4.059844527826617E-4	0s	0	0	0.0	0s	0	0	0.0	
24	943	40	437064	320	0	2484701.239775715	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.443400ms	220	1	7.406754303805481E-5	30.443400ms	220	1	7.406754303805481E-5	80.582400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
25	983	40	437384	320	0	2468187.9850882874	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.212700ms	220	1	3.020896330618457E-5	30.212700ms	220	1	3.020896330618457E-5	80.398300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
26	1023	40	437704	320	0	2438053.6262370474	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.107500ms	220	1	5.549591815626148E-5	30.107500ms	220	1	5.549591815626148E-5	81.759700ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
27	1063	40	438022	318	0	2405533.046856304	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.144800ms	220	1	6.063066610850765E-5	30.144800ms	220	1	6.063066610850765E-5	80.433200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
28	1104	40	438341	319	0	2373357.119144765	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.705200ms	220	1	6.0799088610220945E-5	30.705200ms	220	1	6.0799088610220945E-5	80.538ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
29	1145	40	438661	320	0	2340675.947075927	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	31.001800ms	220	1	6.259099439051613E-5	31.001800ms	220	1	6.259099439051613E-5	80.193800ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
30	1185	39	438980	319	0	2314242.565676493	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	29.787600ms	220	1	5.13320666125911E-5	29.787600ms	220	1	5.13320666125911E-5	80.500200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
31	1225	40	439300	320	0	2295578.22535413	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.339900ms	220	1	3.665903990120254E-5	30.339900ms	220	1	3.665903990120254E-5	80.130500ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
32	1268	43	439620	320	0	2274169.60366245	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.640800ms	220	1	4.239102623712682E-5	30.640800ms	220	1	4.239102623712682E-5	106.145600ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
33	1309	40	439940	320	0	2222026.2254788755	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	1	4209266.6983779855	1.7976931348623157E308	0.0	30.547800ms	220	1	1.0422061529543815E-4	30.547800ms	220	1	1.0422061529543815E-4	81.705400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
34	1349	40	440260	320	0	2187956.2581596323	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	19	4209194.833662004	1.7976931348623157E308	0.0	30.177500ms	220	1	6.96947164884907E-5	30.177500ms	220	1	6.96947164884907E-5	81.780700ms	100	0	1.0613858055388725E-4	0s	0	0	0.0	0s	0	0	0.0	
35	1389	40	440580	320	0	2163784.0442724903	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	19	4209194.833662004	1.7976931348623157E308	0.0	30.222ms	220	1	5.021750278473493E-5	30.222ms	220	1	5.021750278473493E-5	80.548300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
36	1430	40	440900	320	0	2146462.6549146567	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	19	4209194.833662004	1.7976931348623157E308	0.0	30.210600ms	220	1	3.638698981932132E-5	30.210600ms	220	1	3.638698981932132E-5	80.807400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
37	1470	40	441219	319	0	2120939.053118882	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	19	4209194.833662004	1.7976931348623157E308	0.0	30.266900ms	220	1	5.405003042253715E-5	30.266900ms	220	1	5.405003042253715E-5	81.676500ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
38	1510	39	441539	320	0	2109444.6712204283	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	19	4209194.833662004	1.7976931348623157E308	0.0	30.070300ms	220	1	2.4633989539060456E-5	30.070300ms	220	1	2.4633989539060456E-5	80.780200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
39	1551	41	441859	320	0	2083552.124880715	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	19	4209194.833662004	1.7976931348623157E308	0.0	31.122ms	220	1	5.579354322915251E-5	31.122ms	220	1	5.579354322915251E-5	81.965300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
40	1592	41	442178	319	0	2072558.2135209618	45	4085980.451285364	30	4087260.072031766	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	31.101200ms	220	1	2.398419687502449E-5	31.101200ms	220	1	2.398419687502449E-5	81.670600ms	100	0	1.788977498727562E-4	0s	0	0	0.0	0s	0	0	0.0	
41	1632	39	442497	319	0	2054046.9732340986	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.210300ms	220	1	4.059813652277518E-5	30.210300ms	220	1	4.059813652277518E-5	80.155600ms	100	0	2.774804643374884E-4	0s	0	0	0.0	0s	0	0	0.0	
42	1672	39	442816	319	0	2031989.2015493861	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	29.933700ms	220	1	4.881222283296228E-5	29.933700ms	220	1	4.881222283296228E-5	81.074100ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
43	1714	41	443136	320	0	2021222.0297254755	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	31.148200ms	220	1	2.408560541137099E-5	31.148200ms	220	1	2.408560541137099E-5	83.545400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
44	1756	42	443456	320	0	2014712.4639208561	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.444600ms	220	1	1.463913169379085E-5	30.444600ms	220	1	1.463913169379085E-5	103.998800ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
45	1797	40	443776	320	0	1996773.0582515844	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.743600ms	220	1	4.0473643014771695E-5	30.743600ms	220	1	4.0473643014771695E-5	82.715100ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
46	1837	40	444095	319	0	1983123.362382861	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.148600ms	220	1	3.107217010674603E-5	30.148600ms	220	1	3.107217010674603E-5	81.11ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
47	1878	41	444415	320	0	1939467.6458545038	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.617700ms	220	1	1.0006189170726286E-4	30.617700ms	220	1	1.0006189170726286E-4	83.686400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
48	1920	42	444734	319	0	1923798.8642853827	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	31.048700ms	220	1	3.672231117509392E-5	31.048700ms	220	1	3.672231117509392E-5	82.691200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
49	1961	40	445054	320	0	1920779.7802263196	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.525ms	220	1	7.133338944180879E-6	30.525ms	220	1	7.133338944180879E-6	81.704600ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
50	2001	40	445374	320	0	1912802.688097077	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.170100ms	220	1	1.8877494469513287E-5	30.170100ms	220	1	1.8877494469513287E-5	80.541200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
51	2041	39	445694	320	0	1899692.6648962563	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	29.786700ms	220	1	3.115376976412963E-5	29.786700ms	220	1	3.115376976412963E-5	80.169200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
52	2082	41	446014	320	0	1895876.2084741534	18	4079019.8071355615	45	4085980.451285364	23	4291594.056258658	28	4203698.486304611	1.7976931348623157E308	0.0	30.540400ms	220	1	9.131755631811264E-6	30.540400ms	220	1	9.131755631811264E-6	84.085ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
53	2122	40	446333	319	0	1890533.9655140121	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	30.432700ms	220	1	1.2808284864569318E-5	30.432700ms	220	1	1.2808284864569318E-5	80.767700ms	100	0	1.827492560376065E-4	0s	0	0	0.0	0s	0	0	0.0	
54	2163	40	446652	319	0	1880038.059948955	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	30.332ms	220	1	2.523554854322823E-5	30.332ms	220	1	2.523554854322823E-5	80.599300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
55	2203	40	446971	319	0	1867072.0016687592	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	30.162500ms	220	1	3.134863586109785E-5	30.162500ms	220	1	3.134863586109785E-5	81.253700ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
56	2244	41	447291	320	0	1855833.2755604307	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	29.807200ms	220	1	2.7361086572216556E-5	29.807200ms	220	1	2.7361086572216556E-5	101.467100ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
57	2286	41	447611	320	0	1852407.3204506382	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	31.659100ms	220	1	8.391121891931413E-6	31.659100ms	220	1	8.391121891931413E-6	81.974400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
58	2326	40	447931	320	0	1846410.4856547597	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	30.069300ms	220	1	1.471508975392903E-5	30.069300ms	220	1	1.471508975392903E-5	81.169400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
59	2367	41	448250	319	0	1837767.146408982	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	31.024100ms	220	1	2.1277990981887814E-5	31.024100ms	220	1	2.1277990981887814E-5	84.744ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
60	2409	41	448570	320	0	1833811.3174485862	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	30.627400ms	220	1	9.784177916232307E-6	30.627400ms	220	1	9.784177916232307E-6	86.113500ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
61	2449	39	448890	320	0	1829522.1119166387	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	29.902700ms	220	1	1.0631622019164798E-5	29.902700ms	220	1	1.0631622019164798E-5	81.531300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
62	2489	40	449209	319	0	1828237.5723953515	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	30.965800ms	220	1	3.191443256039312E-6	30.965800ms	220	1	3.191443256039312E-6	80.403300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
63	2529	39	449528	319	0	1823315.923798383	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	29.908300ms	220	1	1.2236445812077976E-5	29.908300ms	220	1	1.2236445812077976E-5	81.646600ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
64	2569	39	449848	320	0	1813361.9409487774	18	4079019.8071355615	45	4085980.451285364	26	4291460.366892405	28	4203698.486304611	1.7976931348623157E308	0.0	30.024200ms	220	1	2.481488588925415E-5	30.024200ms	220	1	2.481488588925415E-5	81.256100ms	100	0	2.620482778774358E-5	0s	0	0	0.0	0s	0	0	0.0	
65	2610	41	450166	318	0	1794382.998721855	18	4079019.8071355615	45	4085980.451285364	26	4288857.822255108	28	4203698.486304611	1.7976931348623157E308	0.0	31.071500ms	220	1	4.75734696230291E-5	31.071500ms	220	1	4.75734696230291E-5	82.208100ms	100	0	6.064473197457954E-6	0s	0	0	0.0	0s	0	0	0.0	
