"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	43	43	429967	429967	49	4067924.0041545536	0	4093440.040638087	43	4129890.066329233	48	4341612.0947473105	10	4285860.801168648	1.7976931348623157E308	0.0	31.682700ms	220	1	1.4413492585599015E-4	31.682700ms	220	1	1.4413492585599015E-4	83.809ms	100	0	0.004475308269734223	0s	0	0	0.0	0s	0	0	0.0	
3	83	40	430287	320	49	3930365.0928785834	0	4093440.040638087	16	4095094.655676412	48	4341612.0947473105	40	4271784.8390089795	1.7976931348623157E308	0.0	30.378900ms	220	1	1.5370684847813162E-4	30.378900ms	220	1	1.5370684847813162E-4	81.029800ms	100	0	0.0022619448381177134	0s	0	0	0.0	0s	0	0	0.0	
4	125	41	430607	320	49	3828047.6245394503	0	4093440.040638087	16	4095094.655676412	39	4337611.866342146	2	4260069.835116264	1.7976931348623157E308	0.0	31.839ms	220	1	1.1832982192524286E-4	31.839ms	220	1	1.1832982192524286E-4	81.188500ms	100	0	0.0016180715697557324	0s	0	0	0.0	0s	0	0	0.0	
5	168	42	430925	318	49	3701514.699571975	9	4062075.6138173733	0	4093440.040638087	46	4336313.058179912	7	4256185.468669014	1.7976931348623157E308	0.0	31.420600ms	220	1	1.5024621304502843E-4	31.420600ms	220	1	1.5024621304502843E-4	84.396900ms	100	0	0.0011539741425471662	0s	0	0	0.0	0s	0	0	0.0	
6	211	43	431244	319	49	3624995.127498711	9	4062075.6138173733	0	4093440.040638087	27	4320653.266562675	1	4242086.104859308	1.7976931348623157E308	0.0	31.104ms	220	1	9.396592069102785E-5	31.104ms	220	1	9.396592069102785E-5	104.100700ms	100	0	0.0014946531707223166	0s	0	0	0.0	0s	0	0	0.0	
7	252	40	431563	319	49	3553505.9089516005	9	4062075.6138173733	0	4093440.040638087	27	4320653.266562675	33	4237756.346717459	1.7976931348623157E308	0.0	30.931100ms	220	1	8.964177384154881E-5	30.931100ms	220	1	8.964177384154881E-5	81.182200ms	100	0	5.427178621192241E-5	0s	0	0	0.0	0s	0	0	0.0	
8	293	41	431881	318	49	3459604.492561095	40	3872808.782882151	9	4062075.6138173733	27	4320653.266562675	5	4237217.9118605275	1.7976931348623157E308	0.0	30.439700ms	220	1	1.2011366545968986E-4	30.439700ms	220	1	1.2011366545968986E-4	85.891100ms	100	0	9.532850783393842E-4	0s	0	0	0.0	0s	0	0	0.0	
9	333	39	432199	318	49	3382766.615749715	40	3872808.782882151	9	4062075.6138173733	27	4320653.266562675	5	4237217.9118605275	1.7976931348623157E308	0.0	29.993700ms	220	1	1.00954625641849E-4	29.993700ms	220	1	1.00954625641849E-4	80.597800ms	100	0	8.97486454564389E-5	0s	0	0	0.0	0s	0	0	0.0	
10	375	41	432518	319	49	3278963.0181285692	40	3872808.782882151	9	4062075.6138173733	27	4320653.266562675	45	4200499.603277802	1.7976931348623157E308	0.0	31.045700ms	220	1	1.3948184673597414E-4	31.045700ms	220	1	1.3948184673597414E-4	81.158ms	100	0	5.491822056173612E-4	0s	0	0	0.0	0s	0	0	0.0	
11	415	40	432836	318	49	3249280.970014924	40	3872808.782882151	9	4062075.6138173733	27	4320653.266562675	45	4200499.603277802	1.7976931348623157E308	0.0	30.675700ms	220	1	4.114666733678834E-5	30.675700ms	220	1	4.114666733678834E-5	80.663400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
