"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	43	43	410492	410492	48	4186784.664222931	24	4211316.271237728	32	4223998.778021025	41	4409693.507419844	7	4361616.507551352	1.7976931348623157E308	0.0	31.704900ms	210	1	7.166969915995599E-5	31.704900ms	210	1	7.166969915995599E-5	87.181792ms	100	0	0.005005780702021456	0s	0	0	0.0	0s	0	0	0.0	
3	90	47	410802	310	34	4098908.3870685287	48	4134778.8487921325	35	4144337.862865345	33	4406190.520009899	38	4332700.626950343	1.7976931348623157E308	0.0	33.714300ms	210	1	5.9149624355620785E-5	33.714300ms	210	1	5.9149624355620785E-5	104.457800ms	100	0	0.004132552102903829	0s	0	0	0.0	0s	0	0	0.0	
4	132	41	411111	309	34	4046032.615271695	48	4134778.8487921325	35	4144337.862865345	41	4398014.357720738	1	4322664.051517037	1.7976931348623157E308	0.0	30.766401ms	210	1	6.142840135268483E-5	30.766401ms	210	1	6.142840135268483E-5	88.928406ms	100	0	8.71448373908067E-4	0s	0	0	0.0	0s	0	0	0.0	
5	174	42	411421	310	39	3995002.7388436147	34	4017282.5512324898	48	4134778.8487921325	36	4390917.33880078	3	4309774.768832544	1.7976931348623157E308	0.0	31.862700ms	210	1	3.383686684497125E-5	31.862700ms	210	1	3.383686684497125E-5	81.629801ms	100	0	0.0017233733708684673	0s	0	0	0.0	0s	0	0	0.0	
6	217	42	411731	310	39	3962884.9696138455	34	4017282.5512324898	48	4134778.8487921325	36	4390917.33880078	40	4309419.243391702	1.7976931348623157E308	0.0	32.188300ms	210	1	3.8283267430566915E-5	32.188300ms	210	1	3.8283267430566915E-5	83.393997ms	100	0	4.03350230909163E-4	0s	0	0	0.0	0s	0	0	0.0	
7	257	40	412041	310	39	3909029.4049058114	34	4017282.5512324898	48	4134778.8487921325	36	4390917.33880078	15	4304971.332794523	1.7976931348623157E308	0.0	30.099100ms	210	1	6.471423521113375E-5	30.099100ms	210	1	6.471423521113375E-5	83.430908ms	100	0	5.12311735907155E-4	0s	0	0	0.0	0s	0	0	0.0	
8	297	40	412351	310	39	3860467.203627321	34	4017282.5512324898	48	4134778.8487921325	36	4390917.33880078	15	4304971.332794523	1.7976931348623157E308	0.0	30.216200ms	210	1	5.9157543615918044E-5	30.216200ms	210	1	5.9157543615918044E-5	82.882401ms	100	0	2.03924348222152E-4	0s	0	0	0.0	0s	0	0	0.0	
9	339	41	412661	310	39	3835949.882793408	34	4017282.5512324898	48	4134778.8487921325	41	4370473.878736601	15	4304971.332794523	1.7976931348623157E308	0.0	31.168500ms	210	1	3.0242232525239175E-5	31.168500ms	210	1	3.0242232525239175E-5	83.795104ms	100	0	2.8002285619172396E-4	0s	0	0	0.0	0s	0	0	0.0	
10	380	41	412970	309	39	3812475.0362052657	34	4017282.5512324898	48	4134778.8487921325	41	4370473.878736601	15	4304971.332794523	1.7976931348623157E308	0.0	31.501901ms	210	1	2.9141408821445204E-5	31.501901ms	210	1	2.9141408821445204E-5	83.365603ms	100	0	6.2593297144935E-5	0s	0	0	0.0	0s	0	0	0.0	
11	421	40	413280	310	39	3766076.5380756203	34	4017282.5512324898	45	4114367.3462948417	41	4370473.878736601	26	4300567.317984985	1.7976931348623157E308	0.0	30.298900ms	210	1	5.795322647114396E-5	30.298900ms	210	1	5.795322647114396E-5	83.785595ms	100	0	5.325462922863322E-4	0s	0	0	0.0	0s	0	0	0.0	
12	462	41	413590	310	39	3665139.0619133296	34	4017282.5512324898	45	4114367.3462948417	41	4370473.878736601	31	4292117.969685667	1.7976931348623157E308	0.0	31.203200ms	210	1	1.2762742433202506E-4	31.203200ms	210	1	1.2762742433202506E-4	83.094388ms	100	0	5.775333762609802E-4	0s	0	0	0.0	0s	0	0	0.0	
13	505	42	413899	309	39	3637688.404095066	34	4017282.5512324898	45	4114367.3462948417	41	4370473.878736601	31	4292117.969685667	1.7976931348623157E308	0.0	31.811600ms	210	1	3.5665063719020076E-5	31.811600ms	210	1	3.5665063719020076E-5	86.060115ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
14	546	40	414208	309	39	3593121.4738980364	34	4017282.5512324898	45	4114367.3462948417	41	4370473.878736601	31	4292117.969685667	1.7976931348623157E308	0.0	30.507ms	210	1	5.834020222562313E-5	30.507ms	210	1	5.834020222562313E-5	83.380907ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
