"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	129	129	410460	410460	42	4230099.188305459	46	4244640.066272762	5	4248397.4782625865	41	4466680.226448675	15	4380454.6108036265	1.7976931348623157E308	0.0	44.750600ms	210	1	2.0669088574313108E-5	44.750600ms	210	1	2.0669088574313108E-5	731.491700ms	100	0	0.007541493850892162	0s	0	0	0.0	0s	0	0	0.0	
3	217	87	410770	310	41	4150649.5935123805	44	4181221.766657435	42	4209692.473617014	8	4424500.631863031	22	4345836.4575911965	1.7976931348623157E308	0.0	36.627200ms	210	1	2.2972234816240467E-5	36.627200ms	210	1	2.2972234816240467E-5	448.233700ms	100	0	0.004733164669831519	0s	0	0	0.0	0s	0	0	0.0	
4	304	87	411080	310	39	4121552.9676768207	41	4131308.9313880075	44	4181221.766657435	8	4424500.631863031	28	4337376.933960295	1.7976931348623157E308	0.0	50.343700ms	210	1	2.218891019188823E-5	50.343700ms	210	1	2.218891019188823E-5	311.156400ms	100	0	0.0014132796561683837	0s	0	0	0.0	0s	0	0	0.0	
5	361	56	411390	310	39	4107438.480798214	41	4131308.9313880075	44	4181221.766657435	8	4424500.631863031	24	4333588.144688252	1.7976931348623157E308	0.0	33.054ms	210	1	1.630740713662659E-5	33.054ms	210	1	1.630740713662659E-5	191.711600ms	100	0	2.764016504376221E-4	0s	0	0	0.0	0s	0	0	0.0	
6	429	67	411700	310	39	4084398.8079351205	41	4131308.9313880075	4	4163171.3478624984	16	4416934.953458972	37	4328059.176941371	1.7976931348623157E308	0.0	45.085500ms	210	1	2.671074160511187E-5	45.085500ms	210	1	2.671074160511187E-5	193.723ms	100	0	8.681511448988843E-4	0s	0	0	0.0	0s	0	0	0.0	
7	537	108	412010	310	39	4057191.2657079175	41	4131308.9313880075	4	4163171.3478624984	16	4416934.953458972	34	4323777.134987497	1.7976931348623157E308	0.0	84.966800ms	210	1	3.1720635271887634E-5	84.966800ms	210	1	3.1720635271887634E-5	193.660100ms	100	0	4.6682450241795513E-4	0s	0	0	0.0	0s	0	0	0.0	
8	599	61	412320	310	39	4031922.552522074	41	4131308.9313880075	4	4163171.3478624984	16	4412535.812011682	9	4318988.038315643	1.7976931348623157E308	0.0	34.129500ms	210	1	2.9657760200732917E-5	34.129500ms	210	1	2.9657760200732917E-5	222.452400ms	100	0	6.841243566309486E-4	0s	0	0	0.0	0s	0	0	0.0	
9	659	60	412629	309	39	4016372.483364439	41	4131308.9313880075	4	4163171.3478624984	16	4412535.812011682	1	4287616.831111047	1.7976931348623157E308	0.0	36.623400ms	210	1	1.8365419326661306E-5	36.623400ms	210	1	1.8365419326661306E-5	202.327400ms	100	0	8.684859911785636E-4	0s	0	0	0.0	0s	0	0	0.0	
10	728	68	412939	310	39	4005526.5228804126	41	4131308.9313880075	4	4163171.3478624984	16	4412535.812011682	28	4286305.505435695	1.7976931348623157E308	0.0	42.789700ms	210	1	1.2859223363927868E-5	42.789700ms	210	1	1.2859223363927868E-5	186.166800ms	100	0	4.899151383707345E-4	0s	0	0	0.0	0s	0	0	0.0	
11	785	56	413249	310	39	3994580.106354502	41	4131308.9313880075	4	4163171.3478624984	16	4412535.812011682	28	4286305.505435695	1.7976931348623157E308	0.0	34.377ms	210	1	1.3013468437363317E-5	34.377ms	210	1	1.3013468437363317E-5	174.589400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
