"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	40	40	410488	410488	4	4127897.662056327	35	4152709.1923071765	7	4195477.54315081	49	4415775.85528334	3	4335137.350484529	1.7976931348623157E308	0.0	29.797700ms	210	1	5.570580716040737E-5	29.797700ms	210	1	5.570580716040737E-5	83.088197ms	100	0	0.006932752961918584	0s	0	0	0.0	0s	0	0	0.0	
3	81	40	410797	309	4	4102079.071437738	35	4152709.1923071765	7	4195477.54315081	39	4406865.420754873	12	4323837.902708486	1.7976931348623157E308	0.0	30.570200ms	210	1	2.9784088579144445E-5	30.570200ms	210	1	2.9784088579144445E-5	82.086992ms	100	0	0.0019368337186399841	0s	0	0	0.0	0s	0	0	0.0	
4	123	42	411107	310	4	4049564.6090814034	35	4152709.1923071765	29	4167741.317184156	39	4406865.420754873	14	4298321.749304759	1.7976931348623157E308	0.0	30.604400ms	210	1	6.0961493917729586E-5	30.604400ms	210	1	6.0961493917729586E-5	97.532116ms	100	0	0.0017933520183773355	0s	0	0	0.0	0s	0	0	0.0	
5	166	42	411415	308	4	3989121.5144847403	35	4152709.1923071765	29	4167741.317184156	46	4390788.479462364	31	4296958.538442614	1.7976931348623157E308	0.0	32.152700ms	210	1	7.107535939509286E-5	32.152700ms	210	1	7.107535939509286E-5	82.417602ms	100	0	6.432085909494955E-4	0s	0	0	0.0	0s	0	0	0.0	
6	205	39	411725	310	4	3975293.6088760435	35	4152709.1923071765	29	4167741.317184156	46	4390788.479462364	27	4289521.587503826	1.7976931348623157E308	0.0	29.374399ms	210	1	1.6506684322883805E-5	29.374399ms	210	1	1.6506684322883805E-5	82.461101ms	100	0	4.812496204418393E-4	0s	0	0	0.0	0s	0	0	0.0	
7	246	41	412035	310	4	3928397.108604424	35	4152709.1923071765	29	4167741.317184156	46	4390788.479462364	27	4289521.587503826	1.7976931348623157E308	0.0	30.919701ms	210	1	5.6176144439110255E-5	30.919701ms	210	1	5.6176144439110255E-5	83.716201ms	100	0	3.8929893586447936E-7	0s	0	0	0.0	0s	0	0	0.0	
8	287	40	412345	310	4	3859469.883814503	35	4152709.1923071765	29	4167741.317184156	46	4390788.479462364	47	4278708.326550297	1.7976931348623157E308	0.0	30.372299ms	210	1	8.355185865326354E-5	30.372299ms	210	1	8.355185865326354E-5	81.357702ms	100	0	5.122253277766198E-4	0s	0	0	0.0	0s	0	0	0.0	
9	327	39	412655	310	4	3831646.537704023	35	4152709.1923071765	29	4167741.317184156	46	4390788.479462364	47	4278708.326550297	1.7976931348623157E308	0.0	29.634700ms	210	1	3.432909915717996E-5	29.634700ms	210	1	3.432909915717996E-5	83.079303ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
10	366	39	412965	310	4	3780950.136822431	11	4039003.4761760402	35	4152709.1923071765	46	4390788.479462364	45	4266197.767340051	1.7976931348623157E308	0.0	29.450199ms	210	1	6.300461965736124E-5	29.450199ms	210	1	6.300461965736124E-5	81.413399ms	100	0	0.0016968828929359524	0s	0	0	0.0	0s	0	0	0.0	
11	406	40	413274	309	4	3758920.04746775	11	4039003.4761760402	35	4152709.1923071765	46	4390788.479462364	40	4258801.497507076	1.7976931348623157E308	0.0	30.044001ms	210	1	2.7745720945001766E-5	30.044001ms	210	1	2.7745720945001766E-5	82.703808ms	100	0	2.7943123073898235E-4	0s	0	0	0.0	0s	0	0	0.0	
