"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	44	44	400818	400818	22	4170258.5257636122	39	4205111.041873334	32	4205559.005887444	48	4414771.29678225	31	4364077.400054961	1.7976931348623157E308	0.0	33.624200ms	205	1	5.4949464138501957E-5	33.624200ms	205	1	5.4949464138501957E-5	82.41ms	100	0	0.0054449233210035475	0s	0	0	0.0	0s	0	0	0.0	
3	90	46	401122	304	22	4080924.3718652143	7	4191741.1213706406	39	4205111.041873334	48	4414771.29678225	3	4336863.444231407	1.7976931348623157E308	0.0	35.955ms	205	1	1.0449624592523193E-4	35.955ms	205	1	1.0449624592523193E-4	81.734400ms	100	0	0.0024291665894764745	0s	0	0	0.0	0s	0	0	0.0	
4	136	46	401427	305	22	3964309.3790806103	2	4179032.7873259303	7	4191741.1213706406	48	4414771.29678225	43	4321640.1084961565	1.7976931348623157E308	0.0	36.098200ms	205	1	1.3939332648782552E-4	36.098200ms	205	1	1.3939332648782552E-4	83.738900ms	100	0	8.824688747158227E-4	0s	0	0	0.0	0s	0	0	0.0	
5	185	48	401732	305	22	3913983.5635666302	2	4179032.7873259303	7	4191741.1213706406	48	4414771.29678225	29	4291461.129610588	1.7976931348623157E308	0.0	38.745700ms	205	1	6.192548550586621E-5	38.745700ms	205	1	6.192548550586621E-5	83.103500ms	100	0	0.002009898041098418	0s	0	0	0.0	0s	0	0	0.0	
6	230	44	402037	305	22	3886373.3872607523	2	4179032.7873259303	7	4191741.1213706406	48	4414771.29678225	18	4280010.173270085	1.7976931348623157E308	0.0	34.503200ms	205	1	3.4410922956255216E-5	34.503200ms	205	1	3.4410922956255216E-5	83.460500ms	100	0	5.372970607789962E-4	0s	0	0	0.0	0s	0	0	0.0	
7	275	44	402342	305	22	3788884.7097019176	12	4106425.347626248	2	4179032.7873259303	48	4414771.29678225	4	4279510.05510254	1.7976931348623157E308	0.0	34.381900ms	205	1	1.2236459992137546E-4	34.381900ms	205	1	1.2236459992137546E-4	82.201400ms	100	0	7.839232589027756E-4	0s	0	0	0.0	0s	0	0	0.0	
8	319	44	402647	305	22	3731912.996514461	27	3958253.8862878876	12	4106425.347626248	48	4414771.29678225	33	4272922.8842420885	1.7976931348623157E308	0.0	34.123300ms	205	1	7.334897135422136E-5	34.123300ms	205	1	7.334897135422136E-5	82.499800ms	100	0	0.0013048006949142642	0s	0	0	0.0	0s	0	0	0.0	
9	364	45	402952	305	22	3677181.343871815	27	3958253.8862878876	12	4106425.347626248	34	4403633.633299447	33	4272922.8842420885	1.7976931348623157E308	0.0	35.220400ms	205	1	7.154070088903409E-5	35.220400ms	205	1	7.154070088903409E-5	85.138700ms	100	0	1.871191846057696E-4	0s	0	0	0.0	0s	0	0	0.0	
10	408	44	403256	304	22	3623481.0363010284	27	3958253.8862878876	12	4106425.347626248	34	4403633.633299447	33	4272922.8842420885	1.7976931348623157E308	0.0	33.923500ms	205	1	7.123736779913006E-5	33.923500ms	205	1	7.123736779913006E-5	82.584500ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
11	454	45	403560	304	22	3592605.1345351012	27	3958253.8862878876	12	4106425.347626248	34	4403633.633299447	35	4271704.889026787	1.7976931348623157E308	0.0	35.133400ms	205	1	4.156614963535038E-5	35.133400ms	205	1	4.156614963535038E-5	83.175300ms	100	0	1.1871199303592817E-4	0s	0	0	0.0	0s	0	0	0.0	
