"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	53	53	410453	410453	46	4071689.3690733677	0	4134246.6987381605	42	4162832.2366768774	40	4410955.786935836	7	4342571.943317291	1.7976931348623157E308	0.0	37.879900ms	210	1	1.0008429188008546E-4	37.879900ms	210	1	1.0008429188008546E-4	103.594700ms	100	0	0.006266811957651635	0s	0	0	0.0	0s	0	0	0.0	
3	102	49	410763	310	46	4011765.9067460103	0	4134246.6987381605	48	4145757.854822639	40	4410955.786935836	36	4315738.934085641	1.7976931348623157E308	0.0	36.452600ms	210	1	7.008143174522279E-5	36.452600ms	210	1	7.008143174522279E-5	110.120700ms	100	0	0.0027973202181375933	0s	0	0	0.0	0s	0	0	0.0	
4	147	44	411073	310	46	3970963.249301218	0	4134246.6987381605	48	4145757.854822639	40	4410955.786935836	3	4310435.940483999	1.7976931348623157E308	0.0	32.99ms	210	1	4.843213021427835E-5	32.99ms	210	1	4.843213021427835E-5	87.213600ms	100	0	6.461942238965157E-4	0s	0	0	0.0	0s	0	0	0.0	
5	190	43	411383	310	46	3933230.478067162	0	4134246.6987381605	48	4145757.854822639	40	4410955.786935836	3	4310435.940483999	1.7976931348623157E308	0.0	31.428ms	210	1	4.524843261919693E-5	31.428ms	210	1	4.524843261919693E-5	89.822900ms	100	0	2.3292362643824837E-4	0s	0	0	0.0	0s	0	0	0.0	
6	232	42	411692	309	46	3881681.7483621486	0	4134246.6987381605	48	4145757.854822639	37	4409209.453447527	3	4310435.940483999	1.7976931348623157E308	0.0	31.892800ms	210	1	6.240929506197463E-5	31.892800ms	210	1	6.240929506197463E-5	84.487600ms	100	0	2.631645181049602E-4	0s	0	0	0.0	0s	0	0	0.0	
7	278	45	412002	310	46	3809423.2047570413	0	4134246.6987381605	48	4145757.854822639	49	4396336.602197075	27	4277610.245564792	1.7976931348623157E308	0.0	33.449800ms	210	1	8.864413035062675E-5	33.449800ms	210	1	8.864413035062675E-5	90.637500ms	100	0	9.207870958411201E-4	0s	0	0	0.0	0s	0	0	0.0	
8	323	44	412312	310	46	3783980.642384056	0	4134246.6987381605	15	4145254.937349777	49	4396336.602197075	25	4276271.114870138	1.7976931348623157E308	0.0	34.042300ms	210	1	3.1804042871289413E-5	34.042300ms	210	1	3.1804042871289413E-5	90.437900ms	100	0	5.02076852144564E-4	0s	0	0	0.0	0s	0	0	0.0	
9	372	49	412621	309	46	3732385.995546491	0	4134246.6987381605	15	4145254.937349777	49	4396336.602197075	14	4275338.798879855	1.7976931348623157E308	0.0	38.047100ms	210	1	6.492866049912002E-5	38.047100ms	210	1	6.492866049912002E-5	84.141ms	100	0	3.5159439946577333E-4	0s	0	0	0.0	0s	0	0	0.0	
10	418	45	412930	309	46	3681467.8099295953	0	4134246.6987381605	15	4145254.937349777	49	4396336.602197075	47	4270308.592915425	1.7976931348623157E308	0.0	33.732700ms	210	1	6.496314980443065E-5	33.732700ms	210	1	6.496314980443065E-5	84.707700ms	100	0	4.3373036308719026E-4	0s	0	0	0.0	0s	0	0	0.0	
11	463	45	413240	310	46	3657333.2301879725	0	4134246.6987381605	15	4145254.937349777	49	4396336.602197075	2	4264966.645649755	1.7976931348623157E308	0.0	33.441400ms	210	1	3.121759475615311E-5	33.441400ms	210	1	3.121759475615311E-5	87.968ms	100	0	8.03469976902107E-4	0s	0	0	0.0	0s	0	0	0.0	
